name apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
attr_3 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
attr_6 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_9 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_10 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
attr_14 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_15 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
attr_17 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_20 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_21 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_22 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_23 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_24 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_27 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_28 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_29 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_34 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_35 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_37 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_41 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_42 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_43 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_44 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_49 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_50 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
attr_55 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_56 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0
attr_58 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_61 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_63 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_65 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_67 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_68 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_69 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_70 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_71 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 0 1 0
attr_72 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_73 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_74 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_75 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_77 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_79 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_81 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_82 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_83 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0
attr_84 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_85 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_86 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_87 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_88 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_90 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_91 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_92 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 0 1 0
attr_93 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_94 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_95 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 0 1 0
attr_96 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_98 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_99 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_100 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_101 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_102 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_104 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_105 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_106 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_107 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_108 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 0 1 0
attr_109 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_110 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0
attr_111 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_112 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_113 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_114 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_115 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_116 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0
attr_117 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_118 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_119 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_120 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_121 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_122 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_123 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_124 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_125 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_127 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0
attr_128 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_129 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_130 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_131 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_132 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_133 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_134 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_135 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_136 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_138 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_140 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_141 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_142 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0
attr_143 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0
attr_144 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0
attr_146 0 0 0 0 0 X 1 1 X 1 1 1 1 X 1 X X 1 0
attr_147 0 0 0 0 0 X 1 1 X 1 1 1 1 X 1 X X 1 0
attr_148 0 0 0 0 0 X 1 1 X 1 1 1 1 X 1 X X 1 0
attr_149 0 0 0 0 0 X 1 1 X 1 1 1 1 X 1 X X 1 0
attr_151 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_152 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_153 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_154 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_155 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_156 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
attr_157 1 1 1 X 0 X X X 0 1 0 1 X 0 X 0 0 0 0
attr_158 1 1 1 1 1 1 1 1 0 X 0 X 1 0 X 0 0 1 0
attr_159 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_163 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_164 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_165 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_168 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_170 1 1 1 0 0 0 X 0 0 1 0 1 0 0 0 0 0 0 0
attr_171 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_172 1 1 1 1 1 1 1 1 0 0 0 X 1 0 X 0 0 1 0
attr_173 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_175 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_177 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_178 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_179 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_182 1 1 1 1 1 1 1 1 0 0 0 X 1 0 X 0 0 1 0
