name a20 apoptosis bclxl bid caspase ceramide creb ctla4 cytoskeletonsignaling disc erk fas fasl fast flip fyn gap gpcr grb2 gzmb iap ifng ifngt il2 il2ra il2rat il2rb il2rbt jak lck mcl1 mek nfat nfkb p2 p27 pdgfr pi3k plcg1 proliferation rantes ras s1p sfas smad socs sphk1 stat3 tbet tcr tnf tpl2 tradd zap70 il15 stimuli cd45 stimuli2 pdgf tax
L1.1 0.006 -0.01 0.015 -0.026 -0.016 0.0 -0.001 0.018 0.014 -0.019 0.03 -0.077 0.02 0.006 -0.001 0.022 0.035 0.286 0.01 -0.008 0.014 -0.041 0.011 0.011 0.004 0.007 0.035 0.013 0.011 0.016 0.027 0.014 0.03 0.023 -0.015 0.002 0.202 0.074 0.069 0.0 0.006 0.026 0.636 0.172 0.258 -0.025 1.0 0.006 0.006 0.034 0.006 0.019 -0.005 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.2 0.019 -0.02 0.029 -0.057 -0.032 0.0 0.005 0.093 0.17 -0.008 0.097 -0.07 0.061 0.019 -0.009 0.11 0.087 0.431 0.022 -0.022 0.034 -0.108 0.031 0.034 0.012 0.019 0.052 0.037 0.012 0.102 0.063 0.046 0.096 0.07 -0.04 0.002 0.334 0.239 0.216 0.0 0.019 0.088 0.736 0.207 0.488 -0.029 1.0 0.006 0.006 -0.014 0.019 0.063 -0.013 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.3 0.053 -0.024 0.042 -0.072 -0.039 0.0 0.025 0.018 0.121 0.01 0.137 -0.036 0.119 0.053 0.014 0.033 0.107 0.431 0.02 -0.007 0.063 -0.089 0.071 0.08 0.03 0.049 0.071 0.056 0.036 0.023 0.086 0.094 0.21 0.193 -0.033 0.006 0.334 0.273 0.216 0.0 0.053 0.18 0.736 0.22 0.488 -0.031 1.0 0.019 0.018 0.034 0.053 0.083 -0.027 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.4 0.007 -0.013 0.018 -0.031 -0.02 0.0 -0.003 0.057 0.032 -0.021 0.034 -0.09 0.022 0.007 -0.004 0.05 0.044 0.331 0.01 -0.012 0.016 -0.054 0.012 0.012 0.004 0.007 0.036 0.014 0.01 0.036 0.03 0.015 0.034 0.025 -0.02 0.002 0.234 0.085 0.079 0.0 0.007 0.029 0.736 0.2 0.298 -0.025 1.0 0.005 0.005 0.109 0.007 0.022 -0.006 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.5 0.009 -0.015 0.022 -0.039 -0.024 0.0 -0.006 0.132 0.085 -0.017 0.047 -0.087 0.03 0.009 -0.01 0.134 0.075 0.431 0.018 -0.02 0.021 -0.082 0.016 0.017 0.006 0.009 0.039 0.018 0.008 0.119 0.037 0.02 0.049 0.034 -0.03 0.001 0.334 0.121 0.115 0.0 0.009 0.039 0.736 0.202 0.388 -0.027 1.0 0.004 0.004 0.061 0.009 0.031 -0.008 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.6 0.171 -0.056 0.157 -0.137 -0.088 0.0 0.065 0.057 0.046 0.041 0.207 0.042 0.253 0.171 0.14 0.072 0.089 0.431 0.031 0.028 0.201 -0.037 0.186 0.189 0.061 0.088 0.11 0.091 0.103 0.051 0.101 0.201 0.212 0.263 -0.014 0.017 0.334 0.278 0.221 0.001 0.171 0.194 0.736 0.272 0.488 -0.032 1.0 0.053 0.053 0.109 0.171 0.128 -0.086 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.7 0.183 -0.028 0.143 -0.107 -0.045 0.0 0.111 0.093 0.189 0.138 0.312 0.03 0.314 0.183 0.144 0.14 0.094 0.431 0.052 0.099 0.198 -0.011 0.266 0.18 0.184 0.224 0.159 0.189 0.236 0.123 0.121 0.206 0.213 0.306 -0.004 0.071 0.334 0.281 0.23 0.005 0.183 0.204 0.736 0.361 0.488 0.01 1.0 0.223 0.261 -0.014 0.183 0.233 -0.087 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.8 0.181 0.075 0.019 -0.039 0.117 0.0 0.118 0.093 0.214 0.055 0.341 0.162 0.321 0.181 0.161 0.179 0.137 0.431 0.191 0.196 0.072 -0.024 0.264 0.082 0.051 0.102 0.296 0.297 0.216 0.151 0.264 0.242 0.223 0.299 -0.009 0.168 0.334 0.306 0.293 -0.059 0.181 0.272 0.736 0.307 0.488 0.023 1.0 0.212 0.251 -0.014 0.181 0.238 -0.049 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.9 0.188 -0.03 0.045 -0.108 -0.048 0.0 0.119 0.018 0.226 0.018 0.341 0.036 0.325 0.188 0.173 0.197 0.136 0.431 0.192 0.197 0.202 -0.024 0.265 0.085 0.053 0.107 0.297 0.297 0.219 0.164 0.275 0.242 0.223 0.323 -0.009 0.168 0.334 0.307 0.293 -0.059 0.188 0.273 0.736 0.363 0.488 0.023 1.0 0.214 0.253 0.034 0.188 0.24 -0.089 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.10 0.187 0.071 0.043 -0.105 -0.045 0.0 0.119 0.018 0.226 0.026 0.341 0.064 0.324 0.187 0.171 0.197 0.136 0.431 0.192 0.197 0.2 -0.024 0.265 0.085 0.053 0.106 0.297 0.297 0.219 0.164 0.273 0.242 0.223 0.322 -0.009 0.168 0.334 0.307 0.293 -0.059 0.187 0.273 0.736 0.31 0.488 0.023 1.0 0.214 0.252 0.034 0.187 0.24 -0.089 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.11 0.188 -0.03 0.045 -0.108 -0.048 0.0 0.119 0.093 0.214 0.018 0.341 0.036 0.325 0.188 0.173 0.179 0.136 0.431 0.192 0.197 0.202 -0.024 0.265 0.085 0.053 0.107 0.297 0.297 0.219 0.151 0.275 0.242 0.223 0.323 -0.009 0.168 0.334 0.307 0.293 -0.059 0.188 0.273 0.736 0.363 0.488 0.023 1.0 0.214 0.253 -0.014 0.188 0.24 -0.089 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.12 0.174 0.068 0.003 0.021 0.106 0.0 0.106 0.018 0.142 0.051 0.309 0.051 0.305 0.174 0.054 0.066 0.114 0.431 0.054 0.19 0.144 -0.027 0.259 0.076 0.085 0.195 0.188 0.283 0.205 0.047 0.136 0.203 0.212 0.271 -0.01 0.166 0.334 0.279 0.231 0.041 0.174 0.198 0.736 0.308 0.488 0.021 1.0 0.206 0.245 0.034 0.174 0.229 -0.07 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.13 0.185 -0.051 0.159 -0.135 -0.08 0.0 0.106 0.132 0.104 0.061 0.311 0.115 0.296 0.185 0.157 0.162 0.091 0.431 0.047 0.058 0.209 -0.028 0.21 0.193 0.106 0.207 0.14 0.146 0.214 0.139 0.117 0.205 0.213 0.312 -0.01 0.035 0.334 0.281 0.227 0.003 0.185 0.202 0.736 0.373 0.488 0.0 1.0 0.111 0.11 0.061 0.185 0.233 -0.091 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.14 0.18 0.027 0.003 0.043 0.042 0.0 0.118 0.132 0.132 0.036 0.341 0.101 0.321 0.18 0.165 0.207 0.137 0.431 0.191 0.196 0.041 -0.024 0.264 0.081 0.05 0.101 0.296 0.297 0.216 0.171 0.267 0.241 0.223 0.296 -0.009 0.168 0.334 0.306 0.293 -0.059 0.18 0.272 0.736 0.231 0.488 0.023 1.0 0.212 0.251 0.061 0.18 0.237 -0.04 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.15 0.187 -0.027 0.041 -0.103 -0.043 0.0 0.119 0.057 0.243 0.034 0.341 0.089 0.324 0.187 0.169 0.225 0.136 0.431 0.192 0.197 0.199 -0.024 0.265 0.085 0.053 0.106 0.297 0.297 0.219 0.183 0.271 0.242 0.223 0.321 -0.009 0.168 0.334 0.307 0.293 -0.059 0.187 0.273 0.736 0.261 0.488 0.023 1.0 0.214 0.252 0.109 0.187 0.24 -0.088 0.016 0.1 0.1 0.0 0.0 0.0 0.0
L1.16 0.182 0.114 -0.003 0.084 0.022 0.0 0.109 0.057 0.079 0.027 0.316 0.068 0.313 0.182 0.164 0.123 0.118 0.431 0.083 0.192 0.127 -0.025 0.262 0.08 0.05 0.102 0.291 0.287 0.215 0.087 0.165 0.211 0.215 0.303 -0.009 0.167 0.334 0.285 0.244 -0.059 0.182 0.214 0.736 0.287 0.488 0.023 1.0 0.212 0.25 0.109 0.182 0.233 -0.066 0.0 0.1 0.1 0.0 0.0 0.0 0.0
