name a20 apoptosis bclxl bid caspase ceramide creb ctla4 cytoskeletonsignaling disc erk fas fasl fast flip fyn gap gpcr grb2 gzmb iap ifng ifngt il2 il2ra il2rat il2rb il2rbt jak lck mcl1 mek nfat nfkb p2 p27 pdgfr pi3k plcg1 proliferation rantes ras s1p sfas smad socs sphk1 stat3 tbet tcr tnf tpl2 tradd zap70 il15 stimuli cd45 stimuli2 pdgf tax
A3.1 -0.0031036 0.1124282 -0.149043 0.1403457 0.176664 1.0 0.0646525 0.017572 0.1890289 0.2897158 0.0467367 0.1091768 0.0239169 -0.0031036 -0.0125918 0.2970302 0.0133685 -0.2228029 0.284605 0.2949014 -0.0537608 0.1668291 0.2477667 -0.1894718 -0.0362494 -0.0237807 1.0 0.3017771 0.1594673 0.2100321 0.1323453 0.0728284 0.0005501 -0.0114371 0.0612852 0.0263664 -0.1575455 0.0013668 0.0779416 0.0018644 -0.0031036 0.1401583 -0.4951176 -0.1879858 -0.2005226 0.059071 -0.0708955 0.0828617 1.0 0.0338172 -0.0031036 -0.0008227 0.0166006 0.0 0.1 0.1 0.0 0.0 0.0 0.0
A3.2 0.0401806 0.3443328 -0.2015631 0.3416713 0.3839319 1.0 0.177113 0.017572 0.3526685 0.3585422 0.3257314 0.3154637 0.28841 0.0401806 0.0363856 0.3970302 0.0586521 -0.2228029 0.3915803 0.4443472 -0.0971261 0.2017942 0.4290184 -0.0974636 0.0048493 0.0495992 1.0 0.4042864 0.2846364 0.3050998 0.1925407 0.2765655 0.1703235 0.1480712 0.2322134 0.1788817 -0.1575455 0.17472 0.2260805 -0.0580618 0.0401806 0.3398005 -0.4951176 -0.2955017 -0.2005226 0.0785516 -0.0708955 0.2479014 1.0 0.0338172 0.0401806 0.0553646 0.0230227 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
A3.3 0.0113568 0.2502258 -0.2145737 0.3566879 0.3931918 1.0 0.1615026 0.0927215 0.3414858 0.3263876 0.2244894 0.2509909 0.221226 0.0113568 0.0395065 0.3794583 0.0664184 -0.2228029 0.3915803 0.4562383 -0.123025 0.2776477 0.398455 -0.1383442 -0.0105628 0.0244922 1.0 0.3670877 0.2800602 0.2926745 0.1855942 0.2750828 0.0699015 0.0418515 0.2600784 0.1781251 -0.1575455 0.1736716 0.2260805 0.0418847 0.0113568 0.336947 -0.4951176 -0.2552494 -0.2005226 0.0852076 -0.0708955 0.2455235 1.0 -0.0140076 0.0113568 0.0445304 0.0351791 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
A3.4 -0.0010593 0.1417563 -0.1811248 0.1945749 0.2227485 1.0 0.0850747 0.0566208 0.2702405 0.2927502 0.0720939 0.1267513 0.0419327 -0.0010593 0.0020985 0.4246419 0.0298623 -0.2228029 0.3915803 0.4114724 -0.0722404 0.2058491 0.3597821 -0.178044 -0.0297231 -0.0109253 1.0 0.311094 0.2582606 0.3246242 0.1438069 0.1031005 0.0091657 -0.0039037 0.0756193 0.042701 -0.1575455 0.0227724 0.1260805 0.0030194 -0.0010593 0.198417 -0.4951176 -0.2026118 -0.2005226 0.0864646 -0.0708955 0.1341961 1.0 0.1089667 -0.0010593 0.0049026 0.0218333 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
A3.5 0.0041693 0.1755149 -0.2026917 0.3202906 0.275795 1.0 0.1365152 0.1317703 0.3590578 0.2956213 0.131962 0.158023 0.0831235 0.0041693 0.0412548 0.40707 0.06909 -0.2228029 0.3915803 0.4544134 -0.1147342 0.3093031 0.386366 -0.1524073 -0.0151978 0.0176099 1.0 0.3330909 0.2803679 0.3121989 0.1705293 0.1745727 0.0295071 0.0153644 0.1136235 0.078176 -0.1575455 0.0733109 0.2260805 0.0055279 0.0041693 0.3359654 -0.4951176 -0.2185848 -0.2005226 0.0880618 -0.0708955 0.2456834 1.0 0.0611419 0.0041693 0.0185678 0.0337857 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
A3.6 0.1530279 0.3243244 -0.1773139 0.2722229 0.3524917 1.0 0.1779393 0.0566208 0.3702405 0.3604025 0.3260274 0.3314275 0.298231 0.1530279 0.1431611 0.4246419 0.0568009 -0.2228029 0.3915803 0.4452367 -0.0625247 0.2043155 0.4328525 -0.0877196 0.01124 0.0627342 1.0 0.5043951 0.3244846 0.3246242 0.3009033 0.2769189 0.170424 0.1954152 0.2331396 0.1854703 -0.1575455 0.1749699 0.2260805 -0.0575959 0.1530279 0.3404807 -0.4951176 -0.2512508 -0.2005226 0.0885924 -0.0708955 0.2686071 1.0 0.1089667 0.1530279 0.0968854 -0.0045322 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
A3.7 0.1514617 0.3713402 -0.238468 0.3840681 0.4263699 1.0 0.1778926 0.017572 0.3526685 0.5314409 0.3260018 0.4434535 0.2973792 0.1514617 0.003853 0.3970302 0.0569615 -0.2228029 0.3915803 0.4451891 -0.1047268 0.2041843 0.4327809 -0.0885647 0.0106857 0.061595 1.0 0.5043857 0.3237622 0.3050998 0.1657247 0.2768883 0.1704153 0.1896434 0.2330914 0.1853508 -0.1575455 0.1749483 0.2260805 -0.0576044 0.1514617 0.3404217 -0.4951176 -0.2761509 -0.2005226 0.0885417 -0.0708955 0.2682318 1.0 0.0338173 0.1514617 0.1963049 0.0083668 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
A3.8 0.1514617 0.3713402 -0.238468 0.3840681 0.4263699 1.0 0.1778926 0.0927215 0.3414858 0.5314409 0.3260018 0.4434535 0.2973792 0.1514617 0.003853 0.3794583 0.0569615 -0.2228029 0.3915803 0.4451891 -0.1047268 0.2041843 0.4327809 -0.0885647 0.0106857 0.061595 1.0 0.5043857 0.3237622 0.2926745 0.1657247 0.2768883 0.1704153 0.1896434 0.2330914 0.1853508 -0.1575455 0.1749483 0.2260805 -0.0576044 0.1514617 0.3404217 -0.4951176 -0.2761509 -0.2005226 0.0885417 -0.0708955 0.2682318 1.0 -0.0140076 0.1514617 0.1963049 0.0083668 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
A3.9 0.1561584 0.346684 -0.2323792 0.3679614 0.3876265 1.0 0.1780328 0.017572 0.3526685 0.5308522 0.3260788 0.4388004 0.2999334 0.1561584 0.0064576 0.3970302 0.0564801 -0.2228029 0.3915803 0.445332 0.0045123 0.2045776 0.4329956 -0.0860304 0.0123478 0.0650111 1.0 0.504414 0.3259284 0.3050998 0.1681154 0.2769802 0.1704415 0.2069514 0.2332359 0.185709 -0.1575455 0.1750132 0.2260805 -0.0575791 0.1561584 0.3405986 -0.4951176 -0.2619301 -0.2005226 0.0886938 -0.0708955 0.2693574 1.0 0.0338173 0.1561584 0.1980457 -0.0251197 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
A3.10 0.1582958 0.317348 -0.2009368 0.2385369 0.3415294 1.0 0.1780966 0.0927215 0.3414858 0.5290971 0.3261138 0.4317917 0.3010958 0.1582958 0.0079775 0.3794583 0.056261 -0.2228029 0.3915803 0.445397 0.0535773 0.2047566 0.4330932 -0.0848771 0.0131042 0.0665658 1.0 0.5044269 0.3269142 0.2926745 0.1695028 0.277022 0.1704534 0.2148281 0.2333016 0.185872 -0.1575455 0.1750428 0.2260805 -0.0575675 0.1582958 0.3406791 -0.4951176 -0.2460455 -0.2005226 0.0887631 -0.0708955 0.2698696 1.0 -0.0140076 0.1582958 0.1988379 -0.0401645 0.0155007 0.1 0.1 0.0 0.0 0.0 0.0
