ID	Gene description	Gene_symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Average Intensity	UniProt ID	Description	Gene_Symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_01,V$ZFX_03,V$ZFX_04,V$ZFX_05	2.263976793248945	1.7012635379061374	1.8014797776836935	0.844575	0.0028261029191382256	NaN		X-linked,zinc finger protein	ZFX	7543	9.965733795	10.404884	889	7.682837	1066	10.333277	1112	8.34002	881	970.6753737	0.575836761	-1.061950186	0.124880204	0.48743501	-0.694394232	9.878642195	10.728805	896	8.846417	698	10.650802	1155	9.557321	1174	10.00862456	9.87408866	9.98184176	9.91535888	9.98128921	9.79425765	9.96249398	9.82956529	NM_001178084,NM_001178085,NM_001178086,NM_001178095,NM_001330327,NM_003410	1.418271206	0.061406873	-1.418271206	ZFX
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	17.0253164556962	14.193742478941035	1.5242280829439827	0.8231999999999999	7.717891613153517E-8	NaN		E2F transcription factor 2	E2F2	1870	5.586556447	0.284826	17	1.019801	96	0.156565	12	0.962147	71	102.4032714	0.011697093	3.256828423	0.610316472	0.005252567	2.791121976	7.292353672	1.4514	82	3.619677	191	1.717542	127	3.019687	258	5.4753331	6.35733665	5.21227712	6.30882859	6.47017516	7.23554094	6.6042381	7.07565947	NM_004091	2.933415762	0.581505441	2.933415762	E2F2
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	5.65928270042194	4.807460890493382	1.6492509566470988	0.705	9.228132394729817E-4	NaN		ZFP64 zinc finger protein	ZFP64	55734	8.289843222	7.906057	281	5.672522	314	7.476551	347	6.29392	289	292.8535416	0.372238307	-1.148249534	0.186542596	0.285016138	-1.069118807	8.09140991	7.976384	280	6.278057	206	7.724181	349	5.481521	285	8.31386471	8.12263929	8.27654785	8.25292502	8.2771226	8.04645899	8.23029592	7.92500308	NM_001319146,NM_018197,NM_022088,NM_199426,NM_199427	2.387507138	0.083113181	-2.387507138	ZFP64
ENSG00000025156	heat shock transcription factor 2	HSF2	V$HSF2_01,V$HSF2_05,V$HSF2_06,V$HSF2_07,V$HSF2_08,V$HSF2_Q6	0.48874824191279886	0.3389490573606097	1.655107346842876	0.8748166666666667	0.027040693022547288	NaN		heat shock transcription factor 2	HSF2	3298	7.628797946	6.343712	191	4.070099	199	5.851985	225	4.254574	163	256.723512	8.21752E-4	1.597707884	0.18566682	2.71634E-4	3.640950265	8.301604489	7.562375	218	14.910926	301	8.905664	332	10.834862	480	7.8993761	7.66310872	7.82554484	7.69436699	7.97547475	8.27533812	8.09743271	8.26689612	NM_001135564,NM_001243094,NM_004506	6.060904842	0.111007607	6.060904842	HSF2
ENSG00000057657	PR domain containing 1, with ZNF domain	PRDM1	V$BLIMP1_02,V$BLIMP1_08,V$BLIMP1_10,V$BLIMP1_Q4,V$BLIMP1_Q6,V$BLIMP1_Q6_01,V$PRDM1_02,V$PRDM1_03,V$PRDM1_05,V$PRDM1_06,V$PRDM1_07,V$PRDM1_08,V$PRDM1_09	1.951071080817916	1.734240488753124	1.8270519430347585	0.8577615384615386	0.03807882788082279	NaN		PR/SET domain 1	PRDM1	639	6.002351893	0.55435	32	0.92236	86	0.812119	61	1.069657	79	35.52373808	5.03E-13	-9.249481121	0.424574192	4.06E-14	-7.55903797	2.795571176	0.069942	4	0.127785	7	0.130546	10	0.092217	8	4.97078737	5.50525549	5.28342015	5.63628931	3.91277908	4.10076869	4.10278569	3.94423211	NM_001198,NM_182907	11.01437268	0.291145107	-11.01437268	PRDM1
ENSG00000067955	core-binding factor, beta subunit	CBFB	V$AML_Q6,V$PEBP2B_Q6,V$PEBP_Q6	0.4219409282700422	0.30685920577617326	3.553459204424843	0.9378333333333333	0.023814353752651906	80.70121540427499	Q13951-2	core-binding factor beta subunit	CBFB	865	9.952402384	20.052294	699	27.759974	1561	8.991452	404	28.940189	1274	890.3193464	0.516043111	-1.254213841	0.408876562	0.42416141	-0.799222496	9.625474036	15.032365	507	24.665034	783	15.877404	704	26.655097	1366	9.71577818	10.12608692	9.08294464	10.15913393	9.41853545	9.80310993	9.46025841	9.87241802	NM_001755,NM_022845	0.652464389	0.50106696	-0.652464389	CBFB
ENSG00000072736	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	NFATC3	V$NFATC3_04	0.07383966244725737	0.012033694344163659	6.136075949367087	0.8641	0.0045336321171356156	NaN		nuclear factor of activated T-cells 3	NFATC3	4775	9.299751311	8.215494	581	5.918766	678	7.791134	712	5.744931	518	559.4584387	0.01269547	-1.288262331	0.132325908	0.005752532	-2.76156353	8.93274503	5.525062	381	6.659005	435	5.664222	519	6.804763	720	9.31725589	9.15866198	9.27284283	9.13336187	8.93009887	9.06074456	8.9565187	9.08301406	NM_004555,NM_173163,NM_173165	4.145048725	0.088540885	-4.145048725	NFATC3
ENSG00000074219	TEA domain family member 2	TEAD2	V$TEAD2_01,V$TEAD2_02,V$TEAD2_03	0.620604781997187	0.39911752908142795	1.5827050853022044	0.9060333333333332	0.002359799846452143	NaN		TEA domain transcription factor 2	TEAD2	8463	8.901634292	17.919393	444	11.85641	475	17.095246	547	13.22535	415	407.8718438	0.004855141	-1.414630795	0.161637734	0.001961702	-3.095969986	8.398698096	9.894846	237	13.831971	312	11.821653	374	13.756141	501	8.89844776	8.66418292	8.85791557	8.75284335	8.3440465	8.58670278	8.48638653	8.58362902	NM_001256658,NM_001256659,NM_001256660,NM_001256661,NM_001256662,NM_003598	4.756607659	0.105734219	-4.756607659	TEAD2
ENSG00000075426	FOS-like antigen 2	FOSL2	V$AP1_Q4_01,V$AP1_Q6_01,V$FOSL2_02,V$FRA2_01,V$FRA2_03,V$FRA2_04,V$FRA2_Q4_01,V$JUNBFRA2_01,V$JUNDFRA2_01,V$JUNFRA2_01	0.5928270042194093	0.3658243080625752	4.775061021112406	0.9260999999999999	6.811919950043087E-4	24.716234136002186	P15408-3	AP-1 transcription factor subunit,FOS like 2	FOSL2	2355	9.679368392	10.774959	480	17.847515	1286	10.893356	626	16.267019	918	972.9740727	0.112702786	1.372783815	0.251753173	0.069418713	1.815684956	10.13700602	22.932516	989	22.80481	925	23.139803	1314	22.398848	1469	9.48925097	10.0220407	9.49712062	9.93737282	10.05439617	10.02020291	10.06176197	10.00757862	NM_005253	1.616922696	0.283029998	1.616922696	FOSL2
ENSG00000080298	regulatory factor X, 3 (influences HLA class II expression)	RFX3	V$RFX3ETV7_01,V$RFX3_06,V$RFX3_09,V$RFX3_11,V$RFX3_13	4.70253164556962	4.093862815884476	2.2165898127895955	0.76034	0.023214883678973314	NaN		regulatory factor X3	RFX3	5991	6.559880941	1.058072	111	0.301047	51	1.189695	160	0.334156	45	74.2900033	0.130155567	-1.736210146	0.457588187	0.081959555	-1.739427722	5.761140649	0.439565	45	0.394353	38	0.622338	83	0.401324	62	6.63825134	5.76797337	6.7382168	5.84819045	5.89070937	5.79375118	6.13934058	5.79789104	NM_001282116,NM_001282117,NM_002919,NM_134428	1.563572892	0.510843016	-1.563572892	RFX3
ENSG00000081059	transcription factor 7 (T-cell specific, HMG-box)	TCF7	V$LEF1TCF1_Q4,V$TCF1_Q5_01,V$TCF7RELATED_Q4,V$TCF7_08	0.28481012658227844	0.1865222623345367	1.7006190732936308	0.95285	0.03495012921934144	NaN		HMG-box),transcription factor 7 (T-cell specific	TCF7	6932	5.772247727	1.440155	56	0.882057	54	1.643277	81	0.531249	26	45.70388504	0.406031856	-1.485440484	0.570204174	0.316728105	-1.001204182	5.199831425	0.31659	12	1.47349	51	0.34441	17	1.369268	77	5.73754283	5.45137797	5.83325195	5.11806567	4.73910455	5.65436641	4.76015265	5.60723318	NM_001134851,NM_001346425,NM_001346450,NM_003202,NM_201632,NM_201634,NM_213648,NR_033449	1.778397503	0.321871967	-1.778397503	TCF7
ENSG00000085274	myoneurin	MYNN	V$MYNN_02	0.06856540084388185	0.012033694344163659	5.697784810126581	0.9015	0.007523731332573471	NaN		myoneurin	MYNN	55892	8.720745942	5.086645	286	5.787581	527	5.311357	403	6.303766	466	377.045191	0.058388311	-1.269717211	0.161198607	0.032584978	-2.137160023	8.375880889	5.005074	282	5.228632	267	4.936964	371	5.471273	478	8.48021708	8.71054393	8.55341977	8.8123318	8.43612741	8.41431067	8.43468931	8.50054028	NM_001185118,NM_001185119,NM_018657,NR_033702,NR_033703	2.295729423	0.150220252	-2.295729423	MYNN
ENSG00000102908	nuclear factor of activated T-cells 5, tonicity-responsive	NFAT5	V$NFAT5_04,V$NFAT5_05,V$NFAT5_Q5_01,V$NFAT5_Q5_03	1.8829113924050631	1.6170276774969914	1.5819059777533218	0.8605	0.03454107467017342	0.7298418562642115	O94916	nuclear factor of activated T-cells 5	NFAT5	10725	10.56315758	10.234264	1524	5.745778	1386	10.110379	1945	5.763081	1089	1096.168916	1.09E-5	-2.226897989	0.244961862	2.42E-6	-4.715164488	9.408071566	4.839458	699	3.314103	450	4.919525	909	3.484871	762	10.51643421	10.12485045	10.50636576	10.12324218	9.79883296	9.47591286	9.78796516	9.51243078	NM_001113178,NM_006599,NM_138713,NM_138714,NM_173214,NM_173215	5.164069319	0.22367748	-5.164069319	NFAT5
ENSG00000105497	zinc finger protein 175	ZNF175	V$ZNF175_03,V$ZNF175_04	0.4825949367088608	0.3369434416365824	1.5356791810510166	0.74365	0.016942196388172376	NaN		zinc finger protein 175	ZNF175	7728	7.68024467	4.943043	198	3.173743	189	5.136477	264	3.178609	156	162.8302485	6.06326E-4	-1.698427463	0.20496506	1.9267E-4	-3.728438422	6.913509699	2.529185	96	2.770982	107	2.572465	128	2.857998	175	7.65031455	7.32433626	7.67981928	7.36319007	7.02872212	7.13248351	7.03649601	7.14301781	NM_007147,NR_136208	4.109615749	0.186570964	-4.109615749	ZNF175
ENSG00000111206	forkhead box M1	FOXM1	V$FOXM1_Q3	0.24789029535864976	0.1022864019253911	2.4234921816827995	0.9036	7.644794381116522E-4	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732	FOXM1
ENSG00000112182	BTB and CNC homology 1, basic leucine zipper transcription factor 2	BACH2	V$BACH2_01,V$BACH2_03,V$BACH2_06,V$BACH2_07,V$MAF_Q4	1.9356540084388185	1.658243080625752	2.8536739763041425	0.84354	0.0023741574295163864	NaN		BTB domain and CNC homolog 2	BACH2	60468	6.292378729	0.66199	69	0.383147	65	0.880423	118	0.439185	58	58.74424461	0.021898368	-1.998733139	0.391084211	0.01062926	-2.554656607	5.28947992	0.418419	42	0.162415	16	0.485889	65	0.274378	42	6.09350634	5.78377467	6.33217421	5.87806967	5.68414934	5.11839781	5.80155422	5.3796992	NM_001170794,NM_021813	4.108166984	0.244123185	-4.108166984	BACH2
ENSG00000113916	B-cell CLL/lymphoma 6	BCL6	V$BCL6_02,V$BCL6_05,V$BCL6_08,V$BCL6_09,V$BCL6_10,V$BCL6_Q3	1.0372714486638535	0.8654231849177698	1.533742641089443	0.8285499999999999	0.044205573984788644	NaN		B-cell CLL/lymphoma 6	BCL6	604	10.16240461	34.052664	1193	17.454754	1033	31.224607	1517	15.843616	758	932.3827784	0.206752707	-1.594581258	0.457686797	0.141338192	-1.470825951	9.489356298	28.74354	974	9.147046	298	24.564198	1201	8.448914	441	10.19760126	9.76750812	10.18425086	9.70769975	9.97798251	9.04938348	9.91929965	8.98852469	NM_001130845,NM_001134738,NM_001706	2.559911269	0.26291861	-2.559911269	BCL6
ENSG00000114439	bobby sox homolog (Drosophila)	BBX	V$BBX_06	0.14767932489451474	0.07220216606498195	2.045358649789029	0.8771	0.023707130223892956	0.8199362048534393	Q8WY36	BBX,HMG-box containing	BBX	56987	11.4867275	28.378844	2848	14.520788	2358	31.534181	3951	16.469324	2102	2859.13353	0.977090263	-1.007449041	0.26041639	0.967204687	-0.041114409	11.47597704	27.849854	2700	23.078588	2104	31.19566	3989	20.195555	2995	11.63202784	11.18481512	11.69653034	11.2863879	11.55033508	11.36059303	11.65110726	11.25752161	NM_001142568,NM_001276286,NM_020235	0.042605658	0.252324704	-0.042605658	BBX
ENSG00000116044	nuclear factor (erythroid-derived 2)-like 2	NFE2L2	V$MAF_Q4,V$NRF2_03,V$NRF2_Q3,V$NRF2_Q4,V$NRF2_Q4_01,V$NRF2_Q6	2.39803094233474	2.1048937023666263	3.886072476145124	0.8702333333333332	0.004121439852095617	NaN		erythroid 2 like 2,nuclear factor	NFE2L2	4780	11.09501936	73.274213	2349	16.734661	864	73.256257	3022	52.393565	2131	1924.962281	0.477968052	-1.315738407	0.456852825	0.386204376	-0.866521254	10.69913624	60.691798	1867	53.021783	1532	21.327699	876	53.773332	2529	11.20895201	10.10815133	11.20624637	11.03043092	10.96650735	10.81845912	10.13502093	10.83923879	NM_001145412,NM_001145413,NM_001313900,NM_001313901,NM_001313902,NM_001313903,NM_001313904,NM_006164	0.751402654	0.526858826	-0.751402654	NFE2L2
ENSG00000118707	TGFB-induced factor homeobox 2	TGIF2	V$TGIF2_03,V$TGIF2_04,V$TGIF2_05	0.9757383966244726	0.6417970316887285	1.52894439381119	0.7701666666666666	3.1142036293724436E-4	NaN		TGFB induced factor homeobox 2	TGIF2	60436	7.683842085	5.794081	223	2.745487	171	5.671288	282	2.635974	129	363.9110344	8.49E-7	2.542454113	0.256488115	1.53E-7	5.248671015	9.028462277	11.88777	443	12.908523	440	11.805452	580	12.957362	723	8.19895473	7.7429686	8.18239277	7.71519122	8.75102281	8.76993066	8.7457057	8.78828155	NM_001199513,NM_001199514,NM_001199515,NM_021809	5.039273784	0.266828168	5.039273784	TGIF2
ENSG00000119547	one cut homeobox 2	ONECUT2	V$HOXB13ONECUT2_01,V$ONECUT2_01,V$ONECUT2_03,V$ONECUT2_05,V$ONECUT2_06,V$TEAD4ONECUT2_01	0.375351617440225	0.27476935419173687	1.6723155144889221	0.8340333333333332	0.04380049745635173	NaN		one cut homeobox 2	ONECUT2	9480	2.32892446	0.0108	2	0.033499	10	0.021119	5	0.017203	4	39.68560368	3.07E-20	14.19542027	0.401018405	1.37E-21	9.544084794	6.216200701	0.30041	53	0.437636	72	0.38778	89	0.361037	96	3.80840422	4.11445697	3.91311626	3.91223783	5.37400718	5.66427826	5.5894608	5.50674549	NM_004852	30.35100011	0.128077369	30.35100011	ONECUT2
ENSG00000119950	MAX interactor 1, dimerization protein	MXI1	V$EBOX_Q6_01,V$MXI1_01	3.92668776371308	3.561973525872443	2.301306820008789	0.86405	0.020758899537514815	NaN		MAX interactor 1,dimerization protein	MXI1	4601	9.628932326	26.384929	963	8.193325	495	25.428392	1246	7.824774	373	659.3821008	0.362183437	-1.502177361	0.538902478	0.275998143	-1.08935324	9.041651194	15.117572	554	6.239892	208	22.106373	1075	6.68154	360	9.8002059	8.92315551	9.80302541	8.88872911	9.26607352	8.51800634	9.61023885	8.56695951	NM_001008541,NM_005962,NM_130439	1.135260712	0.517309483	-1.135260712	MXI1
ENSG00000120798	nuclear receptor subfamily 2, group C, member 1	NR2C1	V$TR2_01	0.11075949367088607	0.048134777376654635	2.3010284810126582	0.9973	0.02847740227434454	NaN		nuclear receptor subfamily 2 group C member 1	NR2C1	7181	8.285494235	6.51382	293	4.46121	322	6.047531	347	4.674928	266	324.4371593	0.506089502	1.081109813	0.1377741	0.414129087	0.816648926	8.395981412	6.956513	304	6.458871	262	7.23869	417	7.237198	422	8.41369344	8.21104779	8.34164733	8.25032958	8.41138847	8.31025445	8.44559819	8.3097798	NM_001032287,NM_001127362,NM_003297	1.211041821	0.091233164	1.211041821	NR2C1
ENSG00000122386	zinc finger protein 205	ZNF205	V$ZNF210_02	0.2109704641350211	0.1022864019253911	2.062546537602383	0.8315	0.007026458179255203	NaN		zinc finger protein 205	ZNF205	7755	7.385525474	6.248803	161	3.569432	149	8.930335	258	2.904895	95	136.6304985	0.070703018	-1.579128823	0.321889291	0.040590571	-2.047688097	6.728601518	4.929209	108	3.468899	82	4.870334	140	2.721666	104	7.35846371	7.01181354	7.54996386	6.84753433	6.99421322	6.80331642	6.98110233	6.62624021	NM_001042428,NM_001278158,NM_003456	2.053649475	0.319881247	-2.053649475	ZNF205
ENSG00000125398	SRY (sex determining region Y)-box 9	SOX9	V$SOX9_05,V$SOX9_Q4,V$SOX_Q6	0.3340365682137834	0.23064580826313677	1.757561458495674	0.8364333333333334	0.04816499328259357	7.353028004401891	P48436	SRY-box 9	SOX9	6662	7.511607806	2.826764	124	3.264724	232	2.78781	158	3.803139	212	327.8849634	7.6333E-4	2.593667789	0.375446817	2.49974E-4	3.662286217	8.886575293	6.105289	260	13.854354	554	5.103978	286	14.113283	912	7.70390699	7.89074618	7.69516152	8.00009212	8.20861253	8.86966762	8.06407413	8.88806616	NM_000346	9.236787964	0.148857751	9.236787964	SOX9
ENSG00000126746	zinc finger protein 384	ZNF384	V$CIZ_03	0.10548523206751055	0.0421179302045728	2.5045207956600364	0.8032	0.022540789569758284	2.3698761835841022	Q8TF68,Q8TF68-3	zinc finger protein 384	ZNF384	171017	9.827324107	23.37769	834	17.081241	971	22.310959	1013	16.768164	767	733.9826685	8.32E-9	-1.624745933	0.114910601	1.1E-9	-6.093555605	9.127935137	14.297036	492	16.038309	488	14.420202	648	13.553656	689	9.78188026	9.61679788	9.72808611	9.61981119	9.29647492	9.31252213	9.29595303	9.20556372	NM_001039920,NM_001135734,NM_133476	8.53749705	0.081919673	-8.53749705	ZNF384
ENSG00000128272	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4	V$ATF4_07	0.13185654008438819	0.05415162454873646	2.4349507735583686	0.8216	0.01283322640469211	NaN		activating transcription factor 4	ATF4	468	12.43054007	351.593158	5637	201.223525	5302	334.278213	6888	188.929057	3875	4242.584914	0.048468271	-1.861975033	0.403890975	0.026385884	-2.220484693	11.53373608	245.077809	3782	93.560082	1361	238.925845	4871	87.904603	2075	12.42315957	12.06027526	12.37261644	11.99535047	12.02674001	11.23153464	12.00683231	11.19179887	NM_001675,NM_182810	4.146356189	0.216287253	-4.146356189	ATF4
ENSG00000130522	jun D proto-oncogene	JUND	V$AP1_01,V$AP1_Q4_01,V$AP1_Q6_01,V$FOSBJUND_01,V$JUNDFOS_01,V$JUNDFRA2_01,V$JUND_04,V$JUND_05,V$JUND_08,V$JUND_10,V$JUND_11,V$JUND_Q6	0.6271976090014064	0.4281989570798235	4.113565951350437	0.9142333333333332	0.0030957887567188845	321.681039178161	P17535	AP-1 transcription factor subunit,JunD proto-oncogene	JUND	3727	9.537093417	31.146419	683	34.741521	1232	7.646163	217	28.948813	805	825.4493489	0.620225651	1.222188981	0.465426629	0.533981405	0.621939874	9.826489798	42.150007	895	28.174146	563	50.58465	1413	28.076715	906	9.64295764	9.86311272	8.59993289	9.69874646	9.84515097	9.46971391	10.00873968	9.46842904	NM_001286968,NM_005354	0.50317048	0.575145785	0.50317048	JUND
ENSG00000130684	zinc finger protein 337	ZNF337	V$ZN337_02,V$ZN337_03	1.1735232067510548	0.8062575210589651	1.7285082497500925	0.8048	9.726383891592611E-4	NaN		zinc finger protein 337	ZNF337	26152	8.553075633	7.154482	351	4.821554	382	6.463853	430	5.079141	316	264.6041989	3.75E-16	-2.446925515	0.152242295	2.26E-17	-8.479707859	7.263058555	2.849407	143	2.603111	123	2.813897	185	2.448249	186	8.41122849	8.18543177	8.36496324	8.2286106	7.62559739	7.53372104	7.61073293	7.48487053	NM_001290261,NM_015655	11.97914616	0.107688567	-11.97914616	ZNF337
ENSG00000131115	zinc finger protein 227	ZNF227	V$ZNF227_02,V$ZNF227_03	0.290084388185654	0.1865222623345367	1.6031685312878805	0.8592	0.04690980857616273	NaN		zinc finger protein 227	ZNF227	7770	8.095408877	8.381584	286	4.902843	271	9.063748	395	3.041664	132	226.8408443	0.100005155	-1.519138292	0.321426351	0.060545411	-1.876800724	7.493290598	5.6444	188	4.406037	138	5.04629	220	3.886298	193	8.15863184	7.8192288	8.22013364	7.43733227	7.76429014	7.53900889	7.66738554	7.42907733	NM_001289166,NM_001289167,NM_001289168,NM_001289169,NM_001289170,NM_001289171,NM_001289172,NM_001289173,NM_182490	1.670726777	0.360393026	-1.670726777	ZNF227
