ID	Gene description	Gene_symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000005073	homeobox A11	HOXA11	V$HOXA11_06	0.0859375	0.0315884476534296	2.7205357142857145	0.9938	0.013390009910566183
ENSG00000005513	SRY (sex determining region Y)-box 8	SOX8	V$SOX_Q6	0.03125	0.006768953068592058	4.616666666666667	0.9458	0.049088068318956096
ENSG00000007372	paired box 6	PAX6	V$PAX6_01,V$PAX6_Q2,V$PAX_Q6	0.3541666666666667	0.2339049338146811	1.6302945232466508	0.8161999999999999	0.024542414008259805
ENSG00000011332	D4, zinc and double PHD fingers family 1	DPF1	V$NEUD4_01,V$NEUD4_02	0.30859375	0.22901624548736463	2.154074519230769	0.9156500000000001	0.039189146310117356
ENSG00000011590	zinc finger and BTB domain containing 32	ZBTB32	V$ZBTB32_01	0.046875	0.004512635379061372	10.3875	0.799	0.0023170739186256133
ENSG00000012504	nuclear receptor subfamily 1, group H, member 4	NR1H4	V$FXRIR1_Q6,V$FXRRXRA_02,V$FXRRXR_Q5,V$FXR_02,V$FXR_Q2,V$LXR_Q6,V$NR1H4_02	3.1763392857142856	2.7456162970603404	1.5586249469502698	0.813557142857143	0.013177164841867092
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_01,V$ZNF582_02,V$ZNF582_03,V$ZNF582_04	0.314453125	0.21886281588447654	3.274831947767145	0.8085749999999999	0.02719149809057354
ENSG00000020633	runt-related transcription factor 3	RUNX3	V$AML2_01,V$AML2_02,V$AML2_03,V$AML2_Q3,V$AML2_Q3_01,V$AML2_Q4,V$AML_Q4,V$AML_Q6,V$PEBP_Q6,V$RUNX3_01,V$RUNX3_02,V$RUNX3_03,V$RUNX3_04,V$RUNX3_05	1.6333705357142858	1.2345281072717895	2.065407422516803	0.8754428571428573	0.006468537685051708
ENSG00000030419	IKAROS family zinc finger 2 (Helios)	IKZF2	V$HELIOSA_01,V$HELIOS_02	7.15234375	6.264666064981949	3.4550135135135136	0.92135	0.008549979192181405
ENSG00000037965	homeobox C8	HOXC8	V$HOXC8_04	0.203125	0.09927797833935019	2.046022727272727	0.9945	0.0037247852324534753
