ID	Gene description	Gene_Symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Average Intensity	UniProt ID	Description	Gene_Symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	17.0253164556962	14.193742478941035	1.5242280829439827	0.8231999999999999	7.717891613153517E-8	NaN		E2F transcription factor 2	E2F2	1870	5.586556447	0.284826	17	1.019801	96	0.156565	12	0.962147	71	102.4032714	0.011697093	3.256828423	0.610316472	0.005252567	2.791121976	7.292353672	1.4514	82	3.619677	191	1.717542	127	3.019687	258	5.4753331	6.35733665	5.21227712	6.30882859	6.47017516	7.23554094	6.6042381	7.07565947	NM_004091	2.933415762	0.581505441	2.933415762	E2F2
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	5.65928270042194	4.807460890493382	1.6492509566470988	0.705	9.228132394729817E-4	NaN		ZFP64 zinc finger protein	ZFP64	55734	8.289843222	7.906057	281	5.672522	314	7.476551	347	6.29392	289	292.8535416	0.372238307	-1.148249534	0.186542596	0.285016138	-1.069118807	8.09140991	7.976384	280	6.278057	206	7.724181	349	5.481521	285	8.31386471	8.12263929	8.27654785	8.25292502	8.2771226	8.04645899	8.23029592	7.92500308	NM_001319146,NM_018197,NM_022088,NM_199426,NM_199427	2.387507138	0.083113181	-2.387507138	ZFP64
ENSG00000075426	FOS-like antigen 2	FOSL2	V$AP1_Q4_01,V$AP1_Q6_01,V$FOSL2_02,V$FRA2_01,V$FRA2_03,V$FRA2_04,V$FRA2_Q4_01,V$JUNBFRA2_01,V$JUNDFRA2_01,V$JUNFRA2_01	0.5928270042194093	0.3658243080625752	4.775061021112406	0.9260999999999999	6.811919950043087E-4	24.716234136002186	P15408-3	AP-1 transcription factor subunit,FOS like 2	FOSL2	2355	9.679368392	10.774959	480	17.847515	1286	10.893356	626	16.267019	918	972.9740727	0.112702786	1.372783815	0.251753173	0.069418713	1.815684956	10.13700602	22.932516	989	22.80481	925	23.139803	1314	22.398848	1469	9.48925097	10.0220407	9.49712062	9.93737282	10.05439617	10.02020291	10.06176197	10.00757862	NM_005253	1.616922696	0.283029998	1.616922696	FOSL2
ENSG00000111206	forkhead box M1	FOXM1	V$FOXM1_Q3	0.24789029535864976	0.1022864019253911	2.4234921816827995	0.9036	7.644794381116522E-4	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732	FOXM1
ENSG00000118707	TGFB-induced factor homeobox 2	TGIF2	V$TGIF2_03,V$TGIF2_04,V$TGIF2_05	0.9757383966244726	0.6417970316887285	1.52894439381119	0.7701666666666666	3.1142036293724436E-4	NaN		TGFB induced factor homeobox 2	TGIF2	60436	7.683842085	5.794081	223	2.745487	171	5.671288	282	2.635974	129	363.9110344	8.49E-7	2.542454113	0.256488115	1.53E-7	5.248671015	9.028462277	11.88777	443	12.908523	440	11.805452	580	12.957362	723	8.19895473	7.7429686	8.18239277	7.71519122	8.75102281	8.76993066	8.7457057	8.78828155	NM_001199513,NM_001199514,NM_001199515,NM_021809	5.039273784	0.266828168	5.039273784	TGIF2
ENSG00000130684	zinc finger protein 337	ZNF337	V$ZN337_02,V$ZN337_03	1.1735232067510548	0.8062575210589651	1.7285082497500925	0.8048	9.726383891592611E-4	NaN		zinc finger protein 337	ZNF337	26152	8.553075633	7.154482	351	4.821554	382	6.463853	430	5.079141	316	264.6041989	3.75E-16	-2.446925515	0.152242295	2.26E-17	-8.479707859	7.263058555	2.849407	143	2.603111	123	2.813897	185	2.448249	186	8.41122849	8.18543177	8.36496324	8.2286106	7.62559739	7.53372104	7.61073293	7.48487053	NM_001290261,NM_015655	11.97914616	0.107688567	-11.97914616	ZNF337
ENSG00000160199	PBX/knotted 1 homeobox 1	PKNOX1	V$PBX_Q3,V$PKNOX1_03,V$PKNOX1_04,V$PKNOX1_05,V$PKNOX1_06	1.4683544303797469	1.0421179302045727	1.5468390950395474	0.78752	3.4979256925155207E-4	NaN		PBX/knotted 1 homeobox 1	PKNOX1	5316	8.595161552	3.797796	227	6.00984	574	3.902691	301	5.983818	453	297.1987155	0.004786518	-1.861879294	0.289193235	0.001929329	-3.100900839	7.698170868	2.472121	143	3.676175	200	2.535135	193	3.903494	344	8.11060418	8.62373822	8.13319032	8.62566346	7.71638365	7.99755277	7.73311684	8.05016178	NM_001286258,NM_001320694,NM_004571	3.088372138	0.290441256	-3.088372138	PKNOX1
ENSG00000167377	zinc finger protein 23	ZNF23	V$ZNF23_01,V$ZNF23_02,V$ZNF23_04,V$ZNF23_05	11.408227848101266	9.726233453670279	1.5392700547957674	0.736775	1.748849743075065E-4	NaN		zinc finger protein 23	ZNF23	7571	7.297630181	2.733405	99	4.891235	216	3.33175	156	3.506499	162	171.0564022	0.306146668	1.172540044	0.189228013	0.224920543	1.213547558	7.529703557	4.227623	149	4.838903	160	5.021357	191	6.432741	278	7.1337871	7.48167935	7.28653711	7.44171736	7.42257707	7.50412247	7.40018868	7.5678771	NM_001304492,NM_001304493,NM_001304494,NM_145911	1.460618917	0.158887012	1.460618917	ZNF23
ENSG00000175592	FOS-like antigen 1	FOSL1	V$AP1_01,V$AP1_Q4_01,V$AP1_Q6_01,V$FOSL1_02,V$FOSL1_03,V$FOSL1_05,V$FOSL1_09,V$FOSL1_11,V$FRA1_Q5,V$FRA1_Q6,V$FRA1_Q6_01,V$JUNFRA1_01	0.27514064697609	0.11983553951062977	4.986478280700807	0.9551666666666668	4.947216019917918E-4	38.48191501483579	P15407	AP-1 transcription factor subunit,FOS like 1	FOSL1	8061	8.688905194	11.283049	211	20.751958	617	11.948507	289	23.314	542	1486.040805	8.58E-9	6.201601787	0.432397367	1.14E-9	6.088475773	11.32158672	99.429905	1837	70.632211	1203	95.097218	2323	220.199714	6222	8.98584742	9.47789946	9.02020063	9.56114082	10.66492105	10.30007928	10.62630718	11.42205657	NM_001300844,NM_001300855,NM_001300856,NM_001300857,NM_005438,NR_125339	8.762263011	0.300456802	8.762263011	FOSL1
ENSG00000179588	zinc finger protein, FOG family member 1	ZFPM1	V$ZFPM1_01	0.35864978902953587	0.17448856799037304	2.0554343081623747	0.837	5.433494772687263E-4	NaN		FOG family member 1,zinc finger protein	ZFPM1	161882	6.506008794	2.406664	87	1.42029	84	2.096401	98	1.865104	86	67.97693599	0.00261084	-2.018707364	0.307479124	9.8094E-4	-3.295936898	5.49398181	1.527404	54	0.747887	25	1.378866	64	0.782316	42	6.39128892	6.09043481	6.28046529	6.299597	5.98182076	5.48837514	5.90329404	5.50318328	NM_153813	8.012701321	0.126302846	-8.012701321	ZFPM1
