ID	Gene symbol	Gene description
ENSG00000007312	CD79B	B-cell antigen receptor complex-associated protein beta-chain Precursor (B-cell-specific glycoprotein B29)(Immunoglobulin-associated B29 protein)(IG-beta)(CD79b antigen) [Source:UniProtKB/Swiss-Prot;Acc:P40259]
ENSG00000012061	ERCC1	DNA excision repair protein ERCC-1  [Source:UniProtKB/Swiss-Prot;Acc:P07992]
ENSG00000013441	CLK1	Dual specificity protein kinase CLK1 (EC 2.7.12.1)(CDC-like kinase 1) [Source:UniProtKB/Swiss-Prot;Acc:P49759]
ENSG00000026025	VIM	Vimentin  [Source:UniProtKB/Swiss-Prot;Acc:P08670]
ENSG00000051108	HERPUD1	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q15011]
ENSG00000060762	BRP44L	Brain protein 44-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y5U8]
ENSG00000065882	TBC1D1	TBC1 domain family member 1  [Source:UniProtKB/Swiss-Prot;Acc:Q86TI0]
ENSG00000079277	MKNK1	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1)(MAP kinase signal-integrating kinase 1)(Mnk1) [Source:UniProtKB/Swiss-Prot;Acc:Q9BUB5]
ENSG00000079432	CIC	Protein capicua homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q96RK0]
ENSG00000079459	FDFT1	Squalene synthetase (SQS)(SS)(EC 2.5.1.21)(Farnesyl-diphosphate farnesyltransferase)(FPP:FPP farnesyltransferase) [Source:UniProtKB/Swiss-Prot;Acc:P37268]
ENSG00000081665	ZNF93	Zinc finger protein 93 (Zinc finger protein 505)(Zinc finger protein HTF34) [Source:UniProtKB/Swiss-Prot;Acc:P35789]
ENSG00000086232	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1)(Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase)(Hemin-sensitive initiation factor 2-alpha kinase)(Heme-regulated inhibitor)(Heme-controlled repressor)(HCR) [Source:Un
ENSG00000090487	SPG21	Maspardin (Spastic paraplegia 21 autosomal recessive Mast syndrome protein)(Acid cluster protein 33) [Source:UniProtKB/Swiss-Prot;Acc:Q9NZD8]
ENSG00000090674	MCOLN1	Mucolipin-1 (Mucolipidin)(MG-2) [Source:UniProtKB/Swiss-Prot;Acc:Q9GZU1]
ENSG00000100014	SPECC1L	Cytospin-A (SPECC1-like protein)(Renal carcinoma antigen NY-REN-22) [Source:UniProtKB/Swiss-Prot;Acc:Q69YQ0]
ENSG00000104738	MCM4	DNA replication licensing factor MCM4 (CDC21 homolog)(P1-CDC21) [Source:UniProtKB/Swiss-Prot;Acc:P33991]
ENSG00000105058	FAM32A	Protein FAM32A  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y421]
ENSG00000109220	CHIC2	Cysteine-rich hydrophobic domain 2 protein (BrX-like translocated in leukemia) [Source:UniProtKB/Swiss-Prot;Acc:Q9UKJ5]
ENSG00000110315	RNF141	RING finger protein 141 (Zinc finger protein 230) [Source:UniProtKB/Swiss-Prot;Acc:Q8WVD5]
ENSG00000110721	CHKA	Choline kinase alpha (CK)(EC 2.7.1.32)(CHETK-alpha) [Source:UniProtKB/Swiss-Prot;Acc:P35790]
ENSG00000111676	ATN1	Atrophin-1 (Dentatorubral-pallidoluysian atrophy protein) [Source:UniProtKB/Swiss-Prot;Acc:P54259]
ENSG00000111716	LDHB	L-lactate dehydrogenase B chain (LDH-B)(EC 1.1.1.27)(LDH heart subunit)(LDH-H)(Renal carcinoma antigen NY-REN-46) [Source:UniProtKB/Swiss-Prot;Acc:P07195]
ENSG00000111843	TMEM14C	Transmembrane protein 14C  [Source:UniProtKB/Swiss-Prot;Acc:Q9P0S9]
ENSG00000113269	RNF130	Goliath homolog Precursor (RING finger protein 130) [Source:UniProtKB/Swiss-Prot;Acc:Q86XS8]
ENSG00000113845	C3orf1	Transmembrane protein C3orf1 (Protein M5-14) [Source:UniProtKB/Swiss-Prot;Acc:Q9NPL8]
ENSG00000116750	UCHL5	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5)(EC 3.4.19.12)(Ubiquitin thioesterase L5)(Ubiquitin C-terminal hydrolase UCH37) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y5K5]
ENSG00000117242	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit Precursor (Oligosaccharyl transferase 48 kDa subunit)(DDOST 48 kDa subunit)(EC 2.4.1.119) [Source:UniProtKB/Swiss-Prot;Acc:P39656]
ENSG00000117289	TXNIP	Thioredoxin-interacting protein (Vitamin D3 up-regulated protein 1)(Thioredoxin-binding protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9H3M7]
ENSG00000120533	ENY2	Enhancer of yellow 2 transcription factor homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9NPA8]
ENSG00000120685	C13orf23	Uncharacterized protein KIAA2032  [Source:UniProtKB/Swiss-Prot;Acc:Q86XN7]
ENSG00000120690	ELF1	ETS-related transcription factor Elf-1 (E74-like factor 1) [Source:UniProtKB/Swiss-Prot;Acc:P32519]
ENSG00000124702	KLHDC3	Kelch domain-containing protein 3 (Protein Peas)(Testis intracellular mediator protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9BQ90]
ENSG00000129636	ITFG1	T-cell immunomodulatory protein Precursor (Protein TIP)(Integrin-alpha FG-GAP repeat-containing protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q8TB96]
ENSG00000129824	RPS4Y1	40S ribosomal protein S4, Y isoform 1  [Source:UniProtKB/Swiss-Prot;Acc:P22090]
