ID	Gene symbol ID	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.stat	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.bh.pval
ENSG00000004897	CDC27	1.611937839	2817.170162	0.196510662	3.505133525	4.56E-04	0.001309465
ENSG00000005339	CREBBP	-1.256685468	1457.524964	0.2046045	-1.611028142	0.107173589	0.163090244
ENSG00000012048	BRCA1	2.811701001	426.7738874	0.40140567	3.715550867	2.03E-04	6.35E-04
ENSG00000033800	PIAS1	-1.812271525	879.7488544	0.176253388	-4.866851839	1.13E-06	5.43E-06
ENSG00000048392	RRM2B	-7.905547381	1935.198578	0.125870134	-23.69795974	3.78E-124	3.12E-121
ENSG00000072062	PRKACA	-1.34504662	1799.25257	0.144981974	-2.949719647	0.003180624	0.007458077
ENSG00000075643	MOCOS	2.333713494	424.4300043	0.321090734	3.807731975	1.40E-04	4.54E-04
ENSG00000077238	IL4R	1.671651181	542.5973316	0.180025236	4.117610681	3.83E-05	1.38E-04
ENSG00000077312	SNRPA	1.885980557	1079.405729	0.166204412	5.50716308	3.65E-08	2.21E-07
ENSG00000080986	NDC80	4.569685712	456.0021207	0.381148618	5.751286609	8.86E-09	5.84E-08
ENSG00000085365	SCAMP1	1.080088353	997.5515428	0.225291134	0.493358663	0.621759185	0.701089234
ENSG00000086758	HUWE1	1.739825824	3814.246358	0.149049578	5.360249219	8.31E-08	4.79E-07
ENSG00000087586	AURKA	6.547791762	1311.431926	0.366844719	7.390070783	1.47E-13	1.72E-12
ENSG00000088325	TPX2	4.103855693	3737.825745	0.335973538	6.06291797	1.34E-09	9.98E-09
ENSG00000090339	ICAM1	37.51558599	1322.722792	0.506307629	10.3285392	5.24E-25	1.43E-23
ENSG00000096063	SRPK1	4.53339732	3469.989004	0.187414159	11.63515402	2.73E-31	1.04E-29
ENSG00000096968	JAK2	-2.792677879	125.1810022	0.212700206	-6.96590381	3.26E-12	3.32E-11
ENSG00000100393	EP300	1.188442026	1064.263546	0.2204883	1.129636035	0.25862962	0.343551119
ENSG00000101266	CSNK2A1	-1.028718974	2654.563762	0.07270902	-0.561813662	0.574242983	0.656923338
ENSG00000104852	SNRNP70	1.35645327	1805.5513	0.256784869	1.712870968	0.08673628	0.136590051
ENSG00000105229	PIAS4	1.590367447	238.4143509	0.1834349	3.649033703	2.63E-04	8.00E-04
ENSG00000105325	FZR1	-1.175698022	530.8419246	0.11862426	-1.968548008	0.049005018	0.083235771
ENSG00000105974	CAV1	-1.994615522	16653.28955	0.482693635	-2.063649924	0.03905092	0.068358476
ENSG00000107643	MAPK8	1.203796346	461.269615	0.250564544	1.067953741	0.285541379	0.372727283
ENSG00000108654	DDX5	-1.245712999	8134.591518	0.212503783	-1.491605086	0.135802704	0.199790713
ENSG00000109320	NFKB1	-1.092270485	803.4300702	0.083934672	-1.517015068	0.12926288	0.191675814
ENSG00000110395	CBL	-1.019768817	806.4931035	0.098415909	-0.286967107	0.774137507	0.832202334
ENSG00000112592	TBP	1.690901245	336.1815595	0.261564402	2.897154192	0.003765646	0.00869293
ENSG00000115414	FN1	-72.85080794	524914.5696	0.383173703	-16.14639267	1.20E-58	1.34E-56
ENSG00000115750	TAF1B	2.389996185	418.0366823	0.161130063	7.801202886	6.13E-15	8.24E-14
ENSG00000116017	ARID3A	-3.699094035	146.0305279	0.161076895	-11.71596942	1.06E-31	4.10E-30
ENSG00000116478	HDAC1	1.203916443	1291.376445	0.123255893	2.172190396	0.029841305	0.054075876
ENSG00000117399	CDC20	5.900404001	1278.027208	0.467860721	5.473453157	4.41E-08	2.65E-07
ENSG00000123374	CDK2	1.833357825	667.5312483	0.384930861	2.271806393	0.023098207	0.04319987
ENSG00000123384	LRP1	-11.2854846	4195.866807	0.738467094	-4.734667928	2.19E-06	1.00E-05
ENSG00000125743	SNRPD2	1.647149691	1955.99125	0.151295063	4.758725487	1.95E-06	8.95E-06
ENSG00000130177	CDC16	-1.290357539	1031.102008	0.119407602	-3.07996195	0.00207027	0.005098304
ENSG00000131747	TOP2A	3.961505736	5396.045282	0.341656575	5.812997712	6.14E-09	4.17E-08
ENSG00000131788	PIAS3	-2.504350493	1663.88061	0.098312596	-13.47168664	2.30E-41	1.40E-39
ENSG00000135046	ANXA1	1.398617116	6589.281379	0.132002897	3.666594272	2.46E-04	7.53E-04
ENSG00000135605	TEC	2.319562196	53.94028876	0.27953934	4.342331678	1.41E-05	5.52E-05
ENSG00000136603	SKIL	-7.592318357	1469.526473	0.301516573	-9.699435303	3.03E-22	7.12E-21
ENSG00000137801	THBS1	-4.594081631	49320.22474	0.395570262	-5.561025942	2.68E-08	1.66E-07
ENSG00000139687	RB1	-1.377800962	1555.228895	0.194020766	-2.38308249	0.017168347	0.033288594
