ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000000003	14.57297022301777	O43657	tetraspanin 6	TSPAN6	7105	8.613114594	7.638283	326	5.445058	384	8.734509	483	6.528863	355	396.2500713	0.848599611	1.024226144	0.132749412	0.794750797	0.260146465	8.647218632	8.359037	346	8.796074	343	7.957123	434	8.301817	551	8.62443669	8.48010315	8.74145583	8.61218399	8.64115786	8.65725127	8.59993109	8.65466412	NM_001278740,NM_001278741,NM_001278742,NM_001278743,NM_003270	0.319020227	0.106902432	0.319020227
ENSG00000000419	212.479765983144	O60762	catalytic,dolichyl-phosphate mannosyltransferase subunit 1	DPM1	8813	9.111001777	32.548182	403	36.549163	734	33.639837	537	34.501373	538	533.4032019	0.782416098	-1.076019793	0.287010045	0.712652627	-0.368295876	9.005225154	26.91983	330	48.293973	545	22.719863	363	52.08105	944	8.96837766	9.19050304	8.99516685	9.1286213	8.77334682	9.21632462	8.63205718	9.28022287	NM_001317034,NM_001317035,NM_001317036,NM_003859,NR_133648	0.995315898	0.106274423	-0.995315898
ENSG00000000460	NaN		chromosome 1 open reading frame 112	C1orf112	55732	6.914468631	1.413681	54	4.068711	163	2.159193	105	3.422903	163	245.8679583	0.001643493	3.075404106	0.471425872	5.85964E-4	3.438029364	8.535679489	4.230659	154	19.825341	441	7.747356	234	20.830226	771	6.84065718	7.36444373	7.10449654	7.55303134	7.55588594	8.51141552	7.67235382	8.59109148	NM_001320047,NM_001320048,NM_001320050,NM_001320051,NM_018186	5.223913286	0.310344137	5.223913286
ENSG00000001460	NaN		sperm tail PG-rich repeat containing 1	STPG1	90529	7.073815506	3.447538	105	3.426136	169	3.143018	130	3.435196	132	170.5844628	2.36E-5	1.532179561	0.135509617	5.55E-6	4.542743124	7.689644185	6.156671	182	5.606708	163	6.093965	240	6.345131	280	7.16962648	7.27492469	7.13736353	7.26917472	7.5815006	7.51194943	7.58266822	7.56647649	NM_001199012,NM_001199013,NM_001199014,NM_178122	8.829989684	0.069742854	8.829989684
ENSG00000001461	NaN		NIPA like domain containing 3	NIPAL3	57185	9.856463713	15.679228	934	8.608421	848	14.587417	1117	9.651919	732	993.3194746	0.431171894	1.143299187	0.202754422	0.34064499	0.952891613	10.04932366	18.402692	1053	14.242977	771	17.412364	1334	14.098719	1235	10.05963914	9.69406165	9.99386383	9.7690888	10.13006217	9.88537449	10.09555744	9.88026861	NM_001322854,NM_001322855,NM_001322856,NM_001322857,NM_001322858,NM_001322859,NM_001322860,NM_001322861,NM_001322862,NM_001322863,NM_001322864,NM_001322865,NM_001322866,NM_001322868,NM_001330409,NM_020448,NR_136506,NR_136507,NR_136508	1.100669482	0.175220582	1.100669482
ENSG00000001561	7.609961473519727	Q9Y6X5				NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN	NaN	NaN
ENSG00000001629	0.6509583285595499	Q9P2G1	ankyrin repeat and IBR domain containing 1	ANKIB1	54467	10.21444309	15.994062	1085	11.273837	1238	15.822566	1386	11.413191	982	1206.560843	0.785495825	1.031279154	0.122312126	0.716387451	0.363291086	10.25858912	16.758593	1101	15.864754	981	16.972683	1468	15.549527	1554	10.30707412	10.13117124	10.29837428	10.13763345	10.28558309	10.21079867	10.29579133	10.19627356	NM_019004	0.453797566	0.097281328	0.453797566
ENSG00000002586	917.4721332983104	P14209	CD99 molecule (Xg blood group)	CD99	4267	11.19156122	161.048508	2318	106.793091	2507	135.465993	2630	96.866399	1761	1969.311994	0.005466582	-1.462198964	0.179345444	0.002240613	-3.056334308	10.64368514	118.092166	1646	96.011591	1254	102.172874	1870	85.360939	1803	11.23689886	11.00977352	11.12476304	10.91195157	10.90576303	10.70409481	10.78166924	10.61494448	NM_001122898_chrX,NM_001122898_chrY,NM_001321367_chrX,NM_001321367_chrY,NM_001321368_chrX,NM_001321368_chrY,NM_001321369_chrX,NM_001321369_chrY,NM_001321370_chrX,NM_001321370_chrY,NM_002414_chrX,NM_002414_chrY,NR_135623_chrX,NR_135623_chrY	3.891689931	0.140781021	-3.891689931
ENSG00000003137	NaN		cytochrome P450 family 26 subfamily B member 1	CYP26B1	56603	7.249299652	2.192929	112	2.258501	186	2.012016	133	2.659518	172	124.5143704	0.012978115	-1.569318426	0.236122925	0.005898188	-2.753388368	6.5981881	1.269035	63	2.154122	101	1.46516	95	1.957925	148	7.00735878	7.14748348	6.94035459	7.28458489	6.54057787	6.91470796	6.6352079	6.8394235	NM_001277742,NM_019885	4.253629078	0.15307201	-4.253629078
ENSG00000003249	NaN		dysbindin domain containing 1	DBNDD1	79007	6.628647819	3.776982	103	1.533762	68	4.28604	151	1.865518	65	61.90982473	7.3768E-4	-3.991827028	0.543832619	2.40494E-4	-3.672176211	4.636234621	1.300478	35	0.375184	10	1.237749	43	0.292407	12	6.3795553	5.75020616	6.49861442	5.90260803	5.48190331	4.8094699	5.43175989	4.66384527	NM_001042610,NM_001288708,NM_001288709,NM_024043	5.49731642	0.362433785	-5.49731642
