ID	Gene_Symbol	Average Intensity	UniProt ID	Description	Gene_Symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene_Symbol_1_1	Gene description
ENSG00000142192	APP	46.849521504288965	P05067	amyloid beta precursor protein	APP	351	13.43554321	280.856316	11249	198.9474	12883	222.918901	11521	159.497345	8055	9397.532718	0.071463362	-1.435884302	0.255547244	0.041108063	-2.042438413	12.91364512	214.327328	8258	154.856102	5621	213.142669	10795	116.565174	6772	13.50755152	13.32465991	13.3004045	13.12442572	13.19762895	12.89794401	13.19075696	12.66846738	NM_000484,NM_001136016,NM_001136129,NM_001136130,NM_001136131,NM_001204301,NM_001204302,NM_001204303,NM_201413,NM_201414	3.329784526	0.156736295	-3.329784526	APP	Amyloid beta A4 protein Precursor (Alzheimer disease amyloid protein)(ABPP)(APPI)(APP)(PreA4)(Cerebral vascular amyloid peptide)(CVAP)(Protease nexin-II)(PN-II) [Contains Soluble APP-alpha(S-APP-alpha);Soluble APP-beta(S-APP-beta);C99;Beta-amyloid protei
ENSG00000111676	ATN1	NaN		atrophin 1	ATN1	1822	11.98960634	85.300674	4132	54.749969	4292	77.750885	4863	44.83007	2754	3082.058774	7.43E-7	-1.938789898	0.18109304	1.33E-7	-5.274396358	11.03446918	39.574379	1857	40.753418	1799	37.023808	2288	38.970634	2781	11.97873836	11.71663684	11.89915506	11.5398943	11.26684627	11.26383831	11.21548337	11.23185657	NM_001007026,NM_001940	4.871870519	0.196051425	-4.871870519	ATN1	Atrophin-1 (Dentatorubral-pallidoluysian atrophy protein) [Source:UniProtKB/Swiss-Prot;Acc:P54259]
ENSG00000114353	GNAI2	578.7246160533255	P04899	G protein subunit alpha i2	GNAI2	2771	12.32389546	105.41577	2656	221.408881	9030	163.539606	5328	129.315779	4133	4105.98687	0.026307328	-1.661895459	0.295466513	0.013129177	-2.480245984	11.59104867	102.347141	2502	95.484334	2197	95.960756	3091	146.569644	5499	11.76324532	12.54945093	12.14302542	12.05556129	11.68165263	11.59938766	11.62950295	11.96544417	NM_001166425,NM_001282617,NM_001282618,NM_001282619,NM_001282620,NM_002070	2.257533408	0.324622788	-2.257533408	GNAI2	Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein) [Source:UniProtKB/Swiss-Prot;Acc:P04899]
ENSG00000163349	HIPK1	NaN		homeodomain interacting protein kinase 1	HIPK1	204851	10.09510153	9.918056	902	8.680343	1277	9.625464	1130	8.918042	1028	993.8923256	3.51759E-4	-1.224621443	0.075414825	1.06026E-4	-3.876371146	9.804145068	9.119027	803	9.11136	755	8.661094	1004	8.603333	1152	10.0340302	10.04132667	10.00858854	10.06070724	9.90121049	9.87291524	9.85733193	9.82755878	NM_152696,NM_181358,NM_198268,NM_198269	13.49770442	0.021555996	-13.49770442	HIPK1	Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) [Source:UniProtKB/Swiss-Prot;Acc:Q86Z02]
ENSG00000130522	JUND	321.681039178161	P17535	AP-1 transcription factor subunit,JunD proto-oncogene	JUND	3727	9.537093417	31.146419	683	34.741521	1232	7.646163	217	28.948813	805	825.4493489	0.620225651	1.222188981	0.465426629	0.533981405	0.621939874	9.826489798	42.150007	895	28.174146	563	50.58465	1413	28.076715	906	9.64295764	9.86311272	8.59993289	9.69874646	9.84515097	9.46971391	10.00873968	9.46842904	NM_001286968,NM_005354	0.50317048	0.575145785	0.50317048	JUND	Transcription factor jun-D  [Source:UniProtKB/Swiss-Prot;Acc:P17535]
ENSG00000100030	MAPK1	477.72726263684467	P28482	mitogen-activated protein kinase 1	MAPK1	5594	11.20275893	28.793001	1724	29.089085	2897	30.525512	2435	31.275429	2344	2162.016892	0.045203114	-1.198183659	0.115833503	0.024326629	-2.251931055	10.94177859	27.989872	1576	32.318184	1678	33.295033	2111	35.054017	2923	11.04388966	11.19875118	11.12124377	11.22272887	10.93552864	11.01103932	10.94906267	11.07718612	NM_002745,NM_138957	3.219960497	0.081050789	-3.219960497	MAPK1	Mitogen-activated protein kinase 1 (EC 2.7.11.24)(Extracellular signal-regulated kinase 2)(ERK-2)(Mitogen-activated protein kinase 2)(MAP kinase 2)(MAPK 2)(p42-MAPK)(ERT1) [Source:UniProtKB/Swiss-Prot;Acc:P28482]
ENSG00000181163	NPM1	14025.009884607676	P06748,P06748-3	nucleophosmin	NPM1	4869	14.07222147	995.215821	15416	765.059586	19017	964.202728	19242	735.954773	14473	17645.33957	0.806146678	1.048807159	0.208600227	0.74172105	0.329575086	14.140959	822.736335	12239	1353.983581	18847	802.856872	15705	1294.865264	29194	14.14754343	14.0367234	14.11880342	14.00833055	13.91933922	14.31257947	13.89779782	14.27796813	NM_001037738,NM_002520,NM_199185	1.041848198	0.065976531	1.041848198	NPM1	Nucleophosmin (NPM)(Nucleolar phosphoprotein B23)(Numatrin)(Nucleolar protein NO38) [Source:UniProtKB/Swiss-Prot;Acc:P06748]
ENSG00000129084	PSMA1	3207.9087895881867	P25786	proteasome subunit alpha 1	PSMA1	5682	10.40974202	80.781695	1115	67.82591	1522	84.29335	1492	71.915097	1264	1937.08161	1.3E-5	1.848169082	0.189478159	2.92E-6	4.676511282	11.29567265	123.331526	1669	197.844349	2504	132.45666	2355	201.566383	4105	10.58925864	10.56652779	10.61856331	10.60989519	10.89294153	11.27893388	10.95229138	11.29483433	NM_001143937,NM_002786,NM_148976	38.16892452	0.023210783	38.16892452	PSMA1	Proteasome subunit alpha type-1 (EC 3.4.25.1)(Proteasome component C2)(Macropain subunit C2)(Multicatalytic endopeptidase complex subunit C2)(Proteasome nu chain)(30 kDa prosomal protein)(PROS-30) [Source:UniProtKB/Swiss-Prot;Acc:P25786]
ENSG00000108671	PSMD11	1119.0993515001446	O00231	non-ATPase 11,proteasome 26S subunit	PSMD11	5717	10.13842782	18.337508	799	21.624347	1528	17.318204	976	21.680652	1198	1888.387394	1.75466E-4	2.350735499	0.303916814	4.96E-5	4.057400453	11.37158767	36.992457	1561	74.512254	2956	35.646055	1982	73.663886	4722	10.27347074	10.51786908	10.23150553	10.51474133	10.78772081	11.39246593	10.75580986	11.38434588	NM_001270482,NM_002815	8.0451108	0.153280655	8.0451108	PSMD11	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit S9)(26S proteasome regulatory subunit p44.5) [Source:UniProtKB/Swiss-Prot;Acc:O00231]
ENSG00000170315	UBB	NaN		ubiquitin B	UBB	7314	11.59459962	222.047222	2959	143.544192	3150	209.728056	3643	141.580124	2434	4195.617241	2.47E-5	1.713412291	0.171432659	5.85E-6	4.531647268	12.37140776	352.598305	4217	421.173925	5200	292.515643	5071	379.225416	7555	11.87792908	11.65150293	11.83861528	11.636873	12.14909202	12.36237449	12.06888969	12.26847683	NM_001281716,NM_001281717,NM_001281718,NM_001281719,NM_001281720,NM_018955	6.225307862	0.124782285	6.225307862	UBB	Ubiquitin  [Source:UniProtKB/Swiss-Prot;Acc:P62988]
