ID	Gene description	Gene_symbol_1	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000005073	homeobox A11	HOXA11	V$HOXA11_01,V$HOXA11_06,V$HOXA11_08	0.18055555555555555	0.07220216606498196	8.724142156862746	0.9394333333333332	0.02196320839653923
ENSG00000005513	SRY (sex determining region Y)-box 8	SOX8	V$SOX_Q6	0.08333333333333333	0.018050541516245487	4.616666666666666	0.9085	0.049088068318956096
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_03,V$ZFX_04	0.7395833333333333	0.42418772563176893	2.9074007936507935	0.7621	0.01036132614235341
ENSG00000006468	ets variant 1	ETV1	V$ER81_05,V$GCM1ETV1_01,V$HOXD12ETV1_01,V$TFAP4ETV1_01	15.057291666666668	13.300240673886883	1.6061791202251254	0.79345	0.007939891615257887
ENSG00000007372	paired box 6	PAX6	V$PAX6_05_01,V$PAX6_11	0.125	0.03309265944645006	3.8953125	0.8444499999999999	0.02651114444589178
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	14.145833333333334	11.08303249097473	2.8905620452538168	0.87415	4.963654698609075E-9
ENSG00000008196	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	TFAP2B	V$AP2BETA_Q3,V$AP2_Q3,V$AP2_Q4,V$AP2_Q6,V$AP2_Q6_01,V$TFAP2B_02,V$TFAP2B_03,V$TFAP2B_04,V$TFAP2B_05,V$TFAP2B_06	6.24375	5.238267148014441	1.90563228962128	0.92309	0.0028716367286505157
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	V$MYOGNF1_01,V$NF1FAMILY_Q4,V$NF1_Q6_02,V$NFIX_03	2.34375	1.990072202166065	2.630892052512018	0.926725	0.049454997477303086
ENSG00000009709	paired box 7	PAX7	V$PAX7_09	0.4375	0.246690734055355	1.7734756097560975	0.7623	0.025896209235279403
ENSG00000010030	ets variant 7	ETV7	V$ELK1ETV7_01,V$ERFETV7_01,V$ETS_Q4,V$ETV2ETV7_01,V$ETV5ETV7_01,V$ETV7_05,V$FLI1ETV7_01,V$GCM1ETV7_01,V$RFX3ETV7_01,V$TFAP2CETV7_01	5.983333333333333	5.16546329723225	1.5557629858429025	0.7305999999999999	0.02019886643558076
ENSG00000011590	zinc finger and BTB domain containing 32	ZBTB32	V$ZBTB32_01,V$ZBTB32_02	0.125	0.012033694344163659	10.3875	0.7246999999999999	0.0023170739186256133
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_01,V$ZNF582_02,V$ZNF582_04	0.3263888888888889	0.17448856799037304	2.1019823232323236	0.8189666666666667	0.03759941603654371
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06	0.5416666666666666	0.2607300441235459	5.698995821042281	0.7369	0.0010566758629453595
ENSG00000020633	runt-related transcription factor 3	RUNX3	V$AML2_01,V$AML2_02,V$AML2_03,V$AML2_Q3,V$AML2_Q3_01,V$AML2_Q4,V$AML_Q4,V$AML_Q6,V$PEBP_Q6,V$RUNX3_01,V$RUNX3_02,V$RUNX3_03	2.5034722222222223	2.025170477336542	1.5912392745857789	0.88745	0.021270765370258085
