ID	Gene description	Gene_symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Average Intensity	UniProt ID	Description	Gene_Symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_03,V$ZFX_04	0.93359375	0.7524819494584838	1.7539605761562997	0.7446	0.013944517108838988	NaN		X-linked,zinc finger protein	ZFX	7543	9.965733795	10.404884	889	7.682837	1066	10.333277	1112	8.34002	881	970.6753737	0.575836761	-1.061950186	0.124880204	0.48743501	-0.694394232	9.878642195	10.728805	896	8.846417	698	10.650802	1155	9.557321	1174	10.00862456	9.87408866	9.98184176	9.91535888	9.98128921	9.79425765	9.96249398	9.82956529	NM_001178084,NM_001178085,NM_001178086,NM_001178095,NM_001330327,NM_003410	1.418271206	0.061406873	-1.418271206	ZFX
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	8.5390625	6.033393501805054	3.2245493863830648	0.87585	3.5273348266334028E-15	NaN		E2F transcription factor 2	E2F2	1870	5.586556447	0.284826	17	1.019801	96	0.156565	12	0.962147	71	102.4032714	0.011697093	3.256828423	0.610316472	0.005252567	2.791121976	7.292353672	1.4514	82	3.619677	191	1.717542	127	3.019687	258	5.4753331	6.35733665	5.21227712	6.30882859	6.47017516	7.23554094	6.6042381	7.07565947	NM_004091	2.933415762	0.581505441	2.933415762	E2F2
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	3.095703125	2.7775270758122743	2.3063462969322344	0.7370000000000001	0.004970844003028848	NaN		ZFP64 zinc finger protein	ZFP64	55734	8.289843222	7.906057	281	5.672522	314	7.476551	347	6.29392	289	292.8535416	0.372238307	-1.148249534	0.186542596	0.285016138	-1.069118807	8.09140991	7.976384	280	6.278057	206	7.724181	349	5.481521	285	8.31386471	8.12263929	8.27654785	8.25292502	8.2771226	8.04645899	8.23029592	7.92500308	NM_001319146,NM_018197,NM_022088,NM_199426,NM_199427	2.387507138	0.083113181	-2.387507138	ZFP64
ENSG00000050344	nuclear factor (erythroid-derived 2)-like 3	NFE2L3	V$MAF_Q6_01	0.234375	0.14891696750902528	1.5738636363636362	0.9256	0.028546751333608636	NaN		erythroid 2 like 3,nuclear factor	NFE2L3	9603	5.612641918	0.458489	19	1.422296	96	0.339553	19	1.2419	66	839.0065339	2.76E-27	33.19535203	0.45372457	8.33E-29	11.13651251	10.66984462	36.442059	1461	34.374256	1296	36.640614	1934	34.572525	2107	6.93475017	7.46566273	6.85409496	7.39546211	9.97234083	9.87857679	9.97761321	9.88843937	NM_004289	16.17769627	0.31260339	16.17769627	NFE2L3
ENSG00000067955	core-binding factor, beta subunit	CBFB	V$AML_Q6,V$PEBP2B_Q6,V$PEBP_Q6	0.9583333333333334	0.572352587244284	2.0009867238851844	0.9245333333333333	8.30423385375038E-7	80.70121540427499	Q13951-2	core-binding factor beta subunit	CBFB	865	9.952402384	20.052294	699	27.759974	1561	8.991452	404	28.940189	1274	890.3193464	0.516043111	-1.254213841	0.408876562	0.42416141	-0.799222496	9.625474036	15.032365	507	24.665034	783	15.877404	704	26.655097	1366	9.71577818	10.12608692	9.08294464	10.15913393	9.41853545	9.80310993	9.46025841	9.87241802	NM_001755,NM_022845	0.652464389	0.50106696	-0.652464389	CBFB
ENSG00000068323	transcription factor binding to IGHM enhancer 3	TFE3	V$EBOX_Q6_01,V$TFE3_01,V$TFE3_02,V$TFEA_Q6	5.94140625	5.562951263537905	5.733342056666983	0.9091750000000001	0.025372887261828295	4.687089870448351	P19532	transcription factor binding to IGHM enhancer 3	TFE3	7030	10.64922911	37.866823	1441	29.958196	1839	33.776632	1659	29.277509	1409	1687.475338	0.446835744	1.101546136	0.15111782	0.355841108	0.923318773	10.78870268	46.298767	1703	37.15212	1284	47.984612	2338	36.115034	2021	10.74473825	10.66350495	10.64773711	10.64083477	10.85496217	10.63681722	10.89075298	10.6170971	NM_001282142,NM_006521	2.907476737	0.047970657	2.907476737	TFE3
ENSG00000069011	paired-like homeodomain 1	PITX1	V$ETV2PITX1_01,V$GCM1PITX1_02,V$MGAPITX1_01,V$PITX1FIGLA_01,V$PITX1TBX21_01	0.7453125	0.5428700361010831	2.5053045624547954	0.81396	0.018257627882927573	NaN		paired like homeodomain 1	PITX1	5307	8.090759203	7.24381	193	8.434849	363	6.593959	227	8.990178	303	444.9287716	5.37E-10	2.262060333	0.180094143	6.19E-11	6.539010055	9.269676879	21.424017	552	22.057709	535	20.452702	694	19.820555	776	8.23843559	8.46310508	8.16920465	8.51042251	9.07506285	9.07191607	9.03320157	8.97821921	NM_002653	7.063353946	0.166906216	7.063353946	PITX1
ENSG00000072736	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	NFATC3	V$NFAT4_Q5,V$NFATC3_01,V$NFATC3_02,V$NFATC3_03,V$NFATC3_04,V$NFATC3_05,V$NFATC3_06,V$NFATC3_07,V$NFAT_Q3,V$NFAT_Q4_01,V$NFAT_Q6	4.267045454545454	3.7376928126025604	1.5196337100237456	0.8629363636363636	0.009787796904644357	NaN		nuclear factor of activated T-cells 3	NFATC3	4775	9.299751311	8.215494	581	5.918766	678	7.791134	712	5.744931	518	559.4584387	0.01269547	-1.288262331	0.132325908	0.005752532	-2.76156353	8.93274503	5.525062	381	6.659005	435	5.664222	519	6.804763	720	9.31725589	9.15866198	9.27284283	9.13336187	8.93009887	9.06074456	8.9565187	9.08301406	NM_004555,NM_173163,NM_173165	4.145048725	0.088540885	-4.145048725	NFATC3
ENSG00000074219	TEA domain family member 2	TEAD2	V$TEAD2_01,V$TEAD2_02,V$TEAD2_03	1.0885416666666667	0.9484055354993983	5.762569610182975	0.9261333333333334	0.024233508740448453	NaN		TEA domain transcription factor 2	TEAD2	8463	8.901634292	17.919393	444	11.85641	475	17.095246	547	13.22535	415	407.8718438	0.004855141	-1.414630795	0.161637734	0.001961702	-3.095969986	8.398698096	9.894846	237	13.831971	312	11.821653	374	13.756141	501	8.89844776	8.66418292	8.85791557	8.75284335	8.3440465	8.58670278	8.48638653	8.58362902	NM_001256658,NM_001256659,NM_001256660,NM_001256661,NM_001256662,NM_003598	4.756607659	0.105734219	-4.756607659	TEAD2
ENSG00000082641	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	V$MAF_Q4,V$MAF_Q6_01	0.17578125	0.10830324909747294	1.652556818181818	0.9451	0.0451336438652088	NaN		erythroid 2 like 1,nuclear factor	NFE2L1	4779	12.1385533	82.585798	4474	57.294907	5016	65.619	4573	53.46623	3671	4608.105481	0.88329904	1.044010718	0.301763357	0.8368601	0.205911427	12.20069367	117.991106	6171	46.88912	2307	85.079797	5893	62.710401	4988	12.29282698	12.09761302	12.09064865	12.03596809	12.5469148	11.73010456	12.2576441	11.96702138	NM_001330261,NM_001330262,NM_003204	0.552495971	0.112472078	0.552495971	NFE2L1
