ID	Symbol	Sites view	Total count	V$AP1_01	V$AP1_02	V$BATFJUN_01	V$CFOSCJUN_Q5	V$CMYC_Q3	V$CMYC_Q6_01	V$EBOX_Q6_01	V$FOSJUN_02	V$JUNFOSB_01	V$JUNFRA1_01	V$JUNFRA2_01	V$JUN_04	V$JUN_06	V$MYCMAX_B	V$MYC_02	V$MYC_06	V$MYC_07	V$P53DECAMER_Q2	V$P53_01	V$P53_02	V$P53_03	V$P53_04	V$P53_Q3	V$P53_Q3_01	V$STAT3STAT3_Q3	V$STAT3_02	V$STAT3_10	V$STAT3_11	V$STAT3_Q4	V$STAT_01	V$TP53_03
ENSG00000171105	INSR	DataElement[ENSG00000171105] class=class ru.biosoft.bsa.project.ProjectAsLists	241	0	0	0	0	1	1	8	0	0	0	0	0	0	87	18	7	1	0	2	0	2	48	5	53	0	4	0	1	0	0	3
ENSG00000140443	IGF1R	DataElement[ENSG00000140443] class=class ru.biosoft.bsa.project.ProjectAsLists	231	0	0	1	0	0	0	0	0	0	0	0	1	0	74	14	0	0	0	0	0	3	67	3	56	0	5	0	0	2	0	5
ENSG00000087266	SH3BP2	DataElement[ENSG00000087266] class=class ru.biosoft.bsa.project.ProjectAsLists	228	0	0	0	0	1	1	7	0	0	0	0	1	0	53	13	8	1	0	2	0	5	45	5	71	1	5	0	2	1	0	6
ENSG00000174775	HRAS	DataElement[ENSG00000174775] class=class ru.biosoft.bsa.project.ProjectAsLists	227	1	2	2	1	0	1	9	2	2	0	2	3	0	49	14	8	0	0	6	0	9	36	11	49	0	7	0	0	0	0	13
ENSG00000136603	SKIL	DataElement[ENSG00000136603] class=class ru.biosoft.bsa.project.ProjectAsLists	218	0	0	0	0	0	0	3	0	0	0	0	0	0	74	20	2	0	0	0	0	0	52	0	47	0	8	0	3	3	2	4
ENSG00000103275	UBE2I	DataElement[ENSG00000103275] class=class ru.biosoft.bsa.project.ProjectAsLists	217	0	1	49	0	0	0	0	2	2	0	2	56	0	20	5	1	0	0	0	0	2	19	0	17	0	39	0	0	1	0	1
ENSG00000196924	FLNA	DataElement[ENSG00000196924] class=class ru.biosoft.bsa.project.ProjectAsLists	214	0	0	0	0	0	0	5	0	0	0	0	0	0	48	12	5	0	0	6	0	10	51	7	54	0	1	0	0	1	0	14
ENSG00000120738	EGR1	DataElement[ENSG00000120738] class=class ru.biosoft.bsa.project.ProjectAsLists	210	0	0	0	0	0	0	4	0	0	0	0	0	0	46	11	4	0	1	4	0	5	59	3	49	0	14	0	2	2	1	5
ENSG00000108518	PFN1	DataElement[ENSG00000108518] class=class ru.biosoft.bsa.project.ProjectAsLists	209	1	2	2	1	1	1	7	2	2	0	2	2	1	55	15	5	1	0	3	0	1	38	2	57	0	5	0	0	1	0	2
ENSG00000005339	CREBBP	DataElement[ENSG00000005339] class=class ru.biosoft.bsa.project.ProjectAsLists	201	0	0	0	0	0	0	4	0	1	0	0	1	0	45	9	3	0	0	1	0	4	45	8	64	0	9	0	0	0	0	7
ENSG00000107338	SHB	DataElement[ENSG00000107338] class=class ru.biosoft.bsa.project.ProjectAsLists	199	0	0	0	0	0	0	1	0	0	0	0	0	0	61	15	3	0	1	0	0	6	48	3	45	0	4	0	1	2	2	7
ENSG00000132535	DLG4	DataElement[ENSG00000132535] class=class ru.biosoft.bsa.project.ProjectAsLists	196	1	2	2	1	0	0	4	2	2	1	2	5	1	37	6	2	0	1	8	0	6	35	3	45	0	13	0	3	6	1	7
ENSG00000067606	PRKCZ	DataElement[ENSG00000067606] class=class ru.biosoft.bsa.project.ProjectAsLists	193	0	0	0	0	1	1	10	0	0	0	0	0	0	52	16	8	1	0	2	0	2	33	3	48	0	6	0	3	1	0	6
ENSG00000071051	NCK2	DataElement[ENSG00000071051] class=class ru.biosoft.bsa.project.ProjectAsLists	191	0	0	0	0	0	0	3	0	0	0	0	1	0	47	12	2	0	0	4	0	8	42	5	36	0	9	0	4	3	1	14
ENSG00000162512	SDC3	DataElement[ENSG00000162512] class=class ru.biosoft.bsa.project.ProjectAsLists	191	0	1	2	0	0	0	4	2	0	0	2	3	0	48	14	5	0	0	1	0	6	41	4	43	0	4	0	1	1	0	9
ENSG00000105976	MET	DataElement[ENSG00000105976] class=class ru.biosoft.bsa.project.ProjectAsLists	190	1	2	3	1	0	0	5	2	2	0	2	5	1	55	14	2	0	0	1	0	4	43	0	35	0	5	0	2	1	0	4
ENSG00000132182	NUP210	DataElement[ENSG00000132182] class=class ru.biosoft.bsa.project.ProjectAsLists	187	0	0	0	0	0	0	9	0	0	0	0	1	0	64	9	2	0	1	0	0	2	31	6	44	0	9	1	2	2	2	2
