ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000001167	nuclear transcription factor Y, alpha	NFYA	V$ALPHACP1_01,V$NFYA_02,V$NFYA_03,V$NFYA_04,V$NFYA_05,V$NFYA_Q5,V$NFY_01,V$NFY_C,V$NFY_Q3,V$NFY_Q6,V$NFY_Q6_01	1.9404958677685948	1.5980500437978442	1.528734365349426	0.8479727272727273	0.01742092671644271
ENSG00000004848	aristaless related homeobox	ARX	V$ARX_01,V$ARX_03	2.993939393939394	2.3418516966904064	1.7325152260919283	0.79905	0.0019658876283728498
ENSG00000005102	mesenchyme homeobox 1	MEOX1	V$MEOX1_02,V$MOX1_01	2.5393939393939395	1.7364893171344786	1.8031419457735247	0.8535999999999999	1.0038562258311182E-6
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_01,V$ZFX_03,V$ZFX_04,V$ZFX_05	4.836363636363636	4.371596145789694	3.0481652096486966	0.8488	0.026904046647926727
ENSG00000006377	distal-less homeobox 6	DLX6	V$DLX6_01	0.9333333333333333	0.5529953917050692	1.6877777777777776	0.9912	2.433851332012602E-4
ENSG00000006704	GTF2I repeat domain containing 1	GTF2IRD1	V$BEN_01,V$BEN_02	4.048484848484849	3.588186007540846	2.296710382513661	0.9266	0.022917929759711735
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	V$MYOGNF1_01,V$NFIX_02	0.5757575757575757	0.43150397989107664	2.6586998341625208	0.81635	0.02767538165508627
ENSG00000009709	paired box 7	PAX7	V$PAX7_01,V$PAX7_03	1.8181818181818183	1.2505236698785087	1.7924552845528456	0.82785	0.0010995960087399079
ENSG00000010030	ets variant 7	ETV7	V$ELK1ETV7_01,V$ERFETV7_01,V$ETS_Q4,V$ETS_Q6,V$ETV2ETV7_01,V$ETV5ETV7_01,V$ETV7_01,V$ETV7_02,V$FLI1ETV7_01,V$FOXO1ETV7_01,V$GCM1ETV7_01,V$HOXB2ETV7_01,V$RFX3ETV7_01,V$TEAD4ETV7_01,V$TFAP2CETV7_01	5.616161616161617	4.807708420611648	1.6731358581076088	0.7603466666666666	0.010284093236671319
ENSG00000010539	zinc finger protein 200	ZNF200	V$ZNF200_01,V$ZNF200_02	4.557575757575758	4.082530372852954	2.7248654670094257	0.8263	0.0155882025216223
ENSG00000012504	nuclear receptor subfamily 1, group H, member 4	NR1H4	V$FXRRXRA_02,V$FXRRXR_Q5,V$FXR_01,V$FXR_02,V$FXR_Q2,V$NR1H4_02	0.8929292929292929	0.694735372154727	3.596606979878372	0.9042499999999999	0.03187351165049862
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_02,V$ZNF582_04	1.1151515151515152	0.8378718056137411	1.5366787559072428	0.7456	0.01107804379656184
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	4.457575757575757	4.012358609132803	3.0296393925986185	0.7307999999999999	0.009432104908108753
ENSG00000030419	IKAROS family zinc finger 2 (Helios)	IKZF2	V$HELIOSA_01,V$HELIOSA_02,V$HELIOS_01,V$HELIOS_02	4.972727272727273	4.140134059488898	1.7390363960089146	0.857575	0.011499105228594875
ENSG00000037965	homeobox C8	HOXC8	V$HOXC8_01	0.787878787878788	0.34352744030163385	2.29349593495935	0.854	8.68989395989041E-7
ENSG00000043039	BARX homeobox 2	BARX2	V$BARX2_01	0.9333333333333333	0.49434436531210724	1.8880225988700565	0.8912	1.6786118885774236E-5
