ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID
ENSG00000033800	2.469548292043112	O75925	protein inhibitor of activated STAT 1	PIAS1	8554	10.14675394	15.052029	1063	10.578957	1209	15.643192	1427	8.876501	795	879.7488544	5.43E-6	-1.812271525	0.176253388	1.13E-6	-4.866851839	9.289678055	7.978193	546	8.677272	559	8.120329	732	7.18784	748	10.08320282	9.90076822	10.11744676	9.74628329	9.48901681	9.5292538	9.50232263	9.38705458	NM_001320687,NM_016166	4.972231261	0.17237249	-4.972231261	PIAS1
ENSG00000064393	NaN		homeodomain interacting protein kinase 2	HIPK2	28996	13.00517198	56.789848	9627	19.999164	5485	58.174334	12729	19.508287	4192	5236.310663	5.59E-6	-3.651990546	0.384456882	1.17E-6	-4.860578963	11.136479	14.137526	2320	9.450055	1459	14.493519	3133	9.721859	2427	12.97641773	12.13871312	13.0002915	12.11303459	11.67163406	11.34365776	11.69102782	11.36612389	NM_001113239,NM_022740	3.751196446	0.498159189	-3.751196446	HIPK2
ENSG00000065361	NaN		erb-b2 receptor tyrosine kinase 3	ERBB3	2065	6.756801827	3.638458	176	0.534039	34	2.683889	181	0.23087	19	59.98785593	2.36933E-4	-9.1787238	0.803556262	6.89E-5	-3.980173794	3.564659921	0.217887	14	0.28035	8	0.246697	21	0.04147	4	6.69191254	4.96396701	6.47085068	4.74168821	4.60167341	4.34925191	4.66686852	3.94672304	NM_001005915,NM_001982	3.17261792	1.006153904	-3.17261792	ERBB3
ENSG00000069956	19.093763527640075	Q16659	mitogen-activated protein kinase 6	MAPK6	5597	10.67097723	24.130247	1137	28.146984	2146	24.234156	1475	29.288574	1750	1520.912893	0.255014608	-1.155116017	0.155461259	0.180832293	-1.338196797	10.46297569	25.528685	1166	27.119402	1165	27.420212	1648	28.043581	1947	10.48095161	10.7359147	10.48537254	10.76720252	10.468852	10.49150714	10.52795693	10.52223839	NM_002748	1.337674868	0.15549484	-1.337674868	MAPK6
ENSG00000071564	NaN		transcription factor 3	TCF3	6929	10.74716727	28.96635	1405	30.620583	2277	28.128426	1622	27.529728	1548	1504.236058	0.078810701	-1.332692592	0.207654387	0.046004271	-1.995354118	10.33281353	20.462672	848	33.046416	1345	20.890215	1192	30.206003	2041	10.64874633	10.77559343	10.5523821	10.64619397	10.19490836	10.60056882	10.24625873	10.54881364	NM_001136139,NM_001351778,NM_001351779,NM_003200	4.522070291	0.091629213	-4.522070291	TCF3
ENSG00000082701	33.167216033505284	P49841	glycogen synthase kinase 3 beta	GSK3B	2932	10.86355976	19.790171	1565	15.843063	2025	20.308029	2072	17.089692	1712	1434.242713	1.07609E-4	-1.853596375	0.213021519	2.92E-5	-4.179517322	9.973402558	13.963064	1069	8.895763	644	13.956685	1406	8.899316	1036	10.7007353	10.62804171	10.72389264	10.6917195	10.33503625	9.95142719	10.33347286	9.9496478	NM_001146156,NM_002093	21.70723581	0.041007395	-21.70723581	GSK3B
ENSG00000100030	477.72726263684467	P28482	mitogen-activated protein kinase 1	MAPK1	5594	11.20275893	28.793001	1724	29.089085	2897	30.525512	2435	31.275429	2344	2162.016892	0.045203114	-1.198183659	0.115833503	0.024326629	-2.251931055	10.94177859	27.989872	1576	32.318184	1678	33.295033	2111	35.054017	2923	11.04388966	11.19875118	11.12124377	11.22272887	10.93552864	11.01103932	10.94906267	11.07718612	NM_002745,NM_138957	3.219960497	0.081050789	-3.219960497	MAPK1
ENSG00000100784	8.96463368535694	O75582	ribosomal protein S6 kinase A5	RPS6KA5	9252	4.798782694	0.361786	28	0.204545	25	0.412411	41	0.163013	16	76.05853082	2.58E-12	4.485599438	0.295278222	2.25E-13	7.333086679	6.957484455	1.272995	92	1.269831	88	1.866508	165	1.679828	188	5.53974127	5.26930965	5.61666148	5.17583249	6.39561298	6.38122616	6.66840521	6.63123771	NM_001322227,NM_001322228,NM_001322229,NM_001322230,NM_001322231,NM_001322232,NM_001322233,NM_001322234,NM_001322235,NM_001322236,NM_001322237,NM_001322238,NM_004755,NM_182398	10.22173905	0.211187328	10.22173905	RPS6KA5
ENSG00000103275	1292.2845609219717	P63279	ubiquitin conjugating enzyme E2 I	UBE2I	7329	10.91445655	45.296538	1448	46.741927	2417	46.539314	1924	46.949238	1904	2152.916495	0.035582113	1.23086126	0.127230303	0.018506731	2.3553206	11.21415969	58.219043	1839	73.312027	2137	60.918785	2483	74.485765	3533	10.89490648	11.03916505	10.9187955	11.0398641	11.06162004	11.21545846	11.08250782	11.23783185	NM_003345,NM_194259,NM_194260,NM_194261	3.881547033	0.077212291	3.881547033	UBE2I
ENSG00000111206	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732	FOXM1
