ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000006704	GTF2I repeat domain containing 1	GTF2IRD1	V$BEN_01	77.41935483870968	27.088607594936708	2.8580042206813387	0.7551	1.045810358398748E-5
ENSG00000007372	paired box 6	PAX6	V$PAX_Q6	48.387096774193544	23.746835443037977	2.037622945181924	0.6083	0.009476775874953658
ENSG00000010030	ETS variant 7	ETV7	V$ETS_Q6	6.451612903225806	0.5063291139240507	12.741935483870966	0.9813	0.014219904723971475
ENSG00000059728	MAX dimerization protein 1	MXD1	V$EBOX_Q6_01	9.67741935483871	0.7594936708860759	12.74193548387097	0.9646	0.002530816263754167
ENSG00000066336	Spi-1 proto-oncogene	SPI1	V$ETS_Q6	6.451612903225806	0.5063291139240507	12.741935483870966	0.9813	0.014219904723971475
ENSG00000068323	transcription factor binding to IGHM enhancer 3	TFE3	V$EBOX_Q6_01	9.67741935483871	0.7594936708860759	12.74193548387097	0.9646	0.002530816263754167
ENSG00000071564	transcription factor 3	TCF3	V$EBOX_Q6_01	9.67741935483871	0.7594936708860759	12.74193548387097	0.9646	0.002530816263754167
ENSG00000075891	paired box 2	PAX2	V$PAX_Q6	48.387096774193544	23.746835443037977	2.037622945181924	0.6083	0.009476775874953658
ENSG00000081059	transcription factor 7	TCF7	V$ETS_Q6	6.451612903225806	0.5063291139240507	12.741935483870966	0.9813	0.014219904723971475
ENSG00000100644	hypoxia inducible factor 1 alpha subunit	HIF1A	V$HIF1A_Q5	6.451612903225806	0.10126582278481014	63.709677419354826	0.9915	0.0014035364457104136
ENSG00000102034	E74 like ETS transcription factor 4	ELF4	V$ETS_Q6	6.451612903225806	0.5063291139240507	12.741935483870966	0.9813	0.014219904723971475
ENSG00000104064	GA binding protein transcription factor beta subunit 1	GABPB1	V$ETS_Q6	6.451612903225806	0.5063291139240507	12.741935483870966	0.9813	0.014219904723971475
ENSG00000105516	D-box binding PAR bZIP transcription factor	DBP	V$DBP_Q6	54.83870967741936	30.025316455696203	1.8264157101670022	0.7926	0.015845454772321278
ENSG00000105698	upstream transcription factor 2, c-fos interacting	USF2	V$EBOX_Q6_01	9.67741935483871	0.7594936708860759	12.74193548387097	0.9646	0.002530816263754167
ENSG00000106331	paired box 4	PAX4	V$PAX_Q6	48.387096774193544	23.746835443037977	2.037622945181924	0.6083	0.009476775874953658
ENSG00000109381	E74 like ETS transcription factor 2	ELF2	V$ETS_Q6	6.451612903225806	0.5063291139240507	12.741935483870966	0.9813	0.014219904723971475
ENSG00000111046	myogenic factor 6	MYF6	V$EBOX_Q6_01	9.67741935483871	0.7594936708860759	12.74193548387097	0.9646	0.002530816263754167
ENSG00000111049	myogenic factor 5	MYF5	V$EBOX_Q6_01	9.67741935483871	0.7594936708860759	12.74193548387097	0.9646	0.002530816263754167
ENSG00000111145	ELK3, ETS transcription factor	ELK3	V$ETS_Q6	6.451612903225806	0.5063291139240507	12.741935483870966	0.9813	0.014219904723971475
ENSG00000112561	transcription factor EB	TFEB	V$EBOX_Q6_01	9.67741935483871	0.7594936708860759	12.74193548387097	0.9646	0.002530816263754167
ENSG00000113196	heart and neural crest derivatives expressed 1	HAND1	V$EBOX_Q6_01	9.67741935483871	0.7594936708860759	12.74193548387097	0.9646	0.002530816263754167
ENSG00000114315	hes family bHLH transcription factor 1	HES1	V$HES1_Q6	6.451612903225806	0.35443037974683544	18.202764976958523	0.9419	0.007998444619876576
ENSG00000116833	nuclear receptor subfamily 5 group A member 2	NR5A2	V$LRH1_Q5_01	19.35483870967742	6.177215189873418	3.133262823902697	0.8014	0.014971686712351212
