ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000001167	nuclear transcription factor Y, alpha	NFYA	V$NFYA_03,V$NFYA_04,V$NFYA_Q5,V$NFY_C,V$NFY_Q6	2.4345991561181437	2.1829121540312877	1.2508235437254074	0.8156400000000001	0.0468489711311731
ENSG00000005073	homeobox A11	HOXA11	V$HOXA11_06,V$HOXA11_08	0.0580168776371308	0.006016847172081829	9.64240506329114	0.9860500000000001	0.006967235298859912
ENSG00000005102	mesenchyme homeobox 1	MEOX1	V$MEOX1_04,V$MEOX1_06	0.4140295358649789	0.2918170878459687	1.455219287807345	0.9806999999999999	0.04121794083992038
ENSG00000005513	SRY (sex determining region Y)-box 8	SOX8	V$SOX_Q6	0.0580168776371308	0.024067388688327317	2.410601265822785	0.9064	0.09578123497607575
ENSG00000005801	zinc finger protein 195	ZNF195	V$ZNF195_02	0.4272151898734177	0.3008423586040915	1.4200632911392403	0.8839	0.030028882656285737
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_01,V$ZFX_03,V$ZFX_04,V$ZFX_05	2.263976793248945	1.7012635379061374	1.8014797776836935	0.844575	0.0028261029191382256
ENSG00000006194	zinc finger protein 263	ZNF263	V$FPM315_01,V$FPM315_02,V$FPM315_03,V$ZNF263_01,V$ZNF263_02,V$ZNF263_03,V$ZNF263_04	10.348854731766124	8.404675949802304	1.258539906991734	0.7764714285714286	3.714430241695829E-4
ENSG00000006468	ets variant 1	ETV1	V$ER81_03,V$ER81_05,V$GCM1ETV1_01,V$TFAP4ETV1_01	20.476002109704638	18.55445246690734	1.2811541039839929	0.7902	0.005588662845934217
ENSG00000006704	GTF2I repeat domain containing 1	GTF2IRD1	V$BEN_01,V$BEN_02	4.854957805907173	4.611913357400722	1.8391602023329554	0.9266	0.07705458688563047
ENSG00000007372	paired box 6	PAX6	V$PAX6_12	0.06329113924050633	0.024067388688327317	2.629746835443038	0.8958	0.06591267268059255
ENSG00000007866	TEA domain family member 3	TEAD3	V$TEAD3_01,V$TEAD3_02	0.9757383966244726	0.7160048134777377	1.3962174468540165	0.8403499999999999	0.005164001228384204
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	17.0253164556962	14.193742478941035	1.5242280829439827	0.8231999999999999	7.717891613153517E-8
ENSG00000008196	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	TFAP2B	V$AP2BETA_Q3,V$AP2_Q3,V$AP2_Q4,V$AP2_Q6,V$AP2_Q6_01,V$TFAP2B_02,V$TFAP2B_03,V$TFAP2B_04,V$TFAP2B_05,V$TFAP2B_06	17.08755274261603	14.89109506618532	1.1956462905552105	0.8418299999999999	2.0948897507565167E-4
ENSG00000008197	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)	TFAP2D	V$AP2_Q4	33.28059071729958	29.9338146811071	1.1118058647668725	0.864	1.1311909206540557E-8
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	V$MYOGNF1_01,V$NF1FAMILY_Q4,V$NF1_Q6_02,V$NFIX_02,V$NFIX_03,V$NFIX_04	2.5949367088607596	2.255314881668672	1.3358789754962492	0.8843666666666667	0.02779318030238286
ENSG00000009709	paired box 7	PAX7	V$PAX7_04,V$PAX7_09	0.5063291139240507	0.351985559566787	1.441303554040896	0.7818	0.016338642108635455
ENSG00000009950	MLX interacting protein-like	MLXIPL	V$CHREB_Q6_01	0.07911392405063292	0.024067388688327317	3.2871835443037978	0.9434	0.019770120829747655
ENSG00000010030	ets variant 7	ETV7	V$ELK1ETV7_01,V$ERFETV7_01,V$ETS_Q4,V$ETV2ETV7_01,V$ETV5ETV7_01,V$ETV7_05,V$ETV7_07,V$FLI1ETV7_01,V$GCM1ETV7_01,V$RFX3ETV7_01,V$TFAP2CETV7_01	5.050824702723437	4.494584837545126	1.2586328434570735	0.7287454545454544	0.01949946693947815
ENSG00000010818	human immunodeficiency virus type I enhancer binding protein 2	HIVEP2	V$MIBP1_Q6	7.399789029535865	6.432009626955475	1.1504629903731158	0.8313	2.895610272387866E-4
ENSG00000011590	zinc finger and BTB domain containing 32	ZBTB32	V$ZBTB32_01	0.07911392405063292	0.012033694344163659	6.5743670886075956	0.7049	0.002712632155815546
ENSG00000012504	nuclear receptor subfamily 1, group H, member 4	NR1H4	V$FXRIR1_Q6,V$FXR_02,V$FXR_Q2,V$FXR_Q3,V$LXR_Q6	2.390295358649789	2.0433212996389893	1.194507398619029	0.78372	0.05342678482978307
ENSG00000016082	ISL LIM homeobox 1	ISL1	V$ISL1_01,V$ISL1_Q3,V$ISL1_Q6	0.5836849507735585	0.40713999197753714	1.5922903640936583	0.9540333333333333	0.008431015823164802
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_01,V$ZNF582_02,V$ZNF582_04	4.20886075949367	3.8166867228239068	1.363488694896289	0.7390333333333333	0.02283824574284553
